TCAD or WCAD Property ID(s),Facility Address,Facility Category,Building Name,Calculated kWh/sqft,Portfolio Manager Energy Star Score,As of
176237,"13376 N US 183 HWY
AUSTIN, TX 78750
",RETAIL CENTER,176237_001,22.38,,10/01/2015 12:00:00 AM
188214,"20 N IH
AUSTIN, TX 78701
",MOTEL\HOTEL (W/sqft &gt; 3),188214_Campus,25.27,,10/01/2015 12:00:00 AM
188214,"20 N IH
AUSTIN, TX 78701
",MOTEL\HOTEL (W/sqft &gt; 3),188214_002,25.27,,10/01/2015 12:00:00 AM
190874,"56 E Ave
Austin, TX 78701
",MEDICAL FACILITY,190874_001,18.85,98,10/01/2015 12:00:00 AM
190976,"55 N IH
AUSTIN, TX 78702
",OFFICE MED 10-35,190976_Campus,16.32,,10/01/2015 12:00:00 AM
191012,"1105 E CESAR
AUSTIN, TX 78702
",CITY OF AUSTIN,191012_001,14.46,,10/01/2015 12:00:00 AM
194673,"500 N INTERSTATE
TX 78701
",MOTEL\HOTEL (W/sqft &gt; 3),194673_001,20.56,21,10/01/2015 12:00:00 AM
195174,"808 NILES ST
AUSTIN, TX 78703
",CITY OF AUSTIN,195174_001,11.73,,10/01/2015 12:00:00 AM
195948,"2909 ROSEWOOD AVE
AUSTIN, TX 78702
",CITY OF AUSTIN,195948_001,23.26,,10/01/2015 12:00:00 AM
196431,"6301 Bldg H Harold Ct
AUSTIN, TX 78721
",CITY OF AUSTIN,196431_SC1,124.00,,10/01/2015 12:00:00 AM
196431,"6301 Bldg H Harold Ct
AUSTIN, TX 78721
",CITY OF AUSTIN,196431_SC11,124.00,,10/01/2015 12:00:00 AM
196431,"6301 Bldg H Harold Ct
AUSTIN, TX 78721
",CITY OF AUSTIN,196431_SCE,124.00,,10/01/2015 12:00:00 AM
"196710, 199608, 199676, 199616, 196712, 199614","1216 Rio
Austin, TX 78701
",EDUCATIONAL FACILITY,196710_199608_199676_199616_196712_199614_Campus,9.41,,10/01/2015 12:00:00 AM
197090,"1109 N IH
AUSTIN, TX 78702
",RETAIL CENTER,197090_001,8.01,,10/01/2015 12:00:00 AM
198334,"1617 N IH
AUSTIN, TX 78702
",MOTEL\HOTEL,198334_Campus,0.05,,10/01/2015 12:00:00 AM
198475,"1915 E M L KING JR BLVD
Austin, TX 78702
",DORMITORY\RETIREMENT FACILITY,198475_001,11.92,,10/01/2015 12:00:00 AM
203754,"906 W M L KING JR BLVD
Austin, TX 78705
",OFFICE (SMALL),203754_Campus,48.28,,10/01/2015 12:00:00 AM
"204042, 499647","2600 E M L KING JR BLVD
Austin, TX 78702
",OFFICE MED 10-35,204042_001,57.29,1,10/01/2015 12:00:00 AM
204248,"2820 E MLK BLVD
AUSTIN, TX 78722
",DORMITORY\RETIREMENT FACILITY,204248_001,9.48,,10/01/2015 12:00:00 AM
204249,"2832 E MLK BLVD
AUSTIN, TX 78702
",INDUSTRIAL,204249_Campus,8.69,,10/01/2015 12:00:00 AM
206917,"2900 N IH
AUSTIN, TX 78705
",MOTEL\HOTEL (W/sqft &gt; 3),206917_Campus,9.77,,10/01/2015 12:00:00 AM
206980,"3105 N IH
AUSTIN, TX 78722
",MOTEL\HOTEL,206980_Campus,12.15,,10/01/2015 12:00:00 AM
208319,,DORMITORY\RETIREMENT FACILITY,208319_001,22.13,,10/01/2015 12:00:00 AM
210719,"3909 N IH
AUSTIN, TX 78751
",STORE\GROCERY (W/sqft &gt; 5),210719_002,48.14,,10/01/2015 12:00:00 AM
210720,"1300 E 38 1 2 TH ST
AUSTIN, TX 78722
",INDUSTRIAL (W/sqft &gt; 3),210720_001,16.13,,10/01/2015 12:00:00 AM
217819,"4121 BELLVUE AVE
Austin, TX 78756
",OFFICE MED 10-35,217819_001,11.44,,10/01/2015 12:00:00 AM
220245,"5505 CASWELL AVE
AUSTIN, TX 78751
",EDUCATIONAL FACILITY,220245_Campus,9.54,91.5,10/01/2015 12:00:00 AM
220436,"4920 N IH
AUSTIN, TX 78723
",OFFICE MED 10-35,220436_Campus,7.89,,10/01/2015 12:00:00 AM
221944,"5330 N IH
AUSTIN, TX 78751
",MOTEL\HOTEL (W/sqft &gt; 3),221944_001,11.34,33.5,10/01/2015 12:00:00 AM
221945,"5526 N IH
AUSTIN, TX 78751
",MOTEL\HOTEL (W/sqft &gt; 3),221945_Campus,15.70,,10/01/2015 12:00:00 AM
221949,"5329 N IH
AUSTIN, TX 78751
",RETAIL CENTER,221949_002,7.13,,10/01/2015 12:00:00 AM
221954,"5339 N IH
AUSTIN, TX 78723
",RETAIL CENTER,221954_001,10.04,,10/01/2015 12:00:00 AM
223353,"5407 N IH
AUSTIN, TX 78723
",RETAIL CENTER,223353_009,17.61,,10/01/2015 12:00:00 AM
223353,"5407 N IH
AUSTIN, TX 78723
",RETAIL CENTER,223353_008,17.61,42,10/01/2015 12:00:00 AM
223353,"5407 N IH
AUSTIN, TX 78723
",RETAIL CENTER,223353_007,17.61,,10/01/2015 12:00:00 AM
223353,"5407 N IH
AUSTIN, TX 78723
",RETAIL CENTER,223353_006,17.61,,10/01/2015 12:00:00 AM
223353,"5407 N IH
AUSTIN, TX 78723
",RETAIL CENTER,223353_005,17.61,,10/01/2015 12:00:00 AM
223353,"5407 N IH
AUSTIN, TX 78723
",RETAIL CENTER,223353_004,17.61,,10/01/2015 12:00:00 AM
223353,"5407 N IH
AUSTIN, TX 78723
",RETAIL CENTER,223353_003,17.61,,10/01/2015 12:00:00 AM
223353,"5407 N IH
AUSTIN, TX 78723
",RETAIL CENTER,223353_002,17.61,100,10/01/2015 12:00:00 AM
225461,"5812 N IH
AUSTIN, TX 78751
",MOTEL\HOTEL (W/sqft &gt; 3),225461_001,14.41,48.5,10/01/2015 12:00:00 AM
225469,"5901 N IH
AUSTIN, TX 78723
",MOTEL\HOTEL (W/sqft &gt; 3),225469_001,17.36,55,10/01/2015 12:00:00 AM
225496,"5656 N IH
AUSTIN, TX 78751
",MOTEL\HOTEL,225496_001,2.99,,10/01/2015 12:00:00 AM
225501,"5660 N IH
AUSTIN, TX 78751
",MOTEL\HOTEL (W/sqft &gt; 3),225501_Campus,15.00,,10/01/2015 12:00:00 AM
225524,"6207 E US 290 HWY
AUSTIN, TX 78723
",OFFICE MED 10-35,225524_Campus,10.97,,10/01/2015 12:00:00 AM
225529,"6301 E US 290 HWY
AUSTIN, TX 78723
",OFFICE LG &gt; 35000,225529_001,14.98,,10/01/2015 12:00:00 AM
225530,"6375 E US 290 HWY
AUSTIN, TX 78723
",AUTOMOTIVE SALES,225530_001,12.98,,10/01/2015 12:00:00 AM
225562,"6201 E US 290 HWY
AUSTIN, TX 78723
",MOTEL\HOTEL (W/sqft &gt; 3),225562_002,14.94,,10/01/2015 12:00:00 AM
225563,"6225 E US 290 HWY
AUSTIN, TX 78723
",OFFICE LG &gt; 35000,225563_001,15.86,49,10/01/2015 12:00:00 AM
226521,"5426 NELRAY BLVD
Austin, TX 78751
",WAREHOUSE,226521_001,22.40,,10/01/2015 12:00:00 AM
226752,"6406 N IH
AUSTIN, TX 78752
",RETAIL CENTER,226752_003,13.58,,10/01/2015 12:00:00 AM
226752,"6406 N IH
AUSTIN, TX 78752
",RETAIL CENTER,226752_002,13.58,,10/01/2015 12:00:00 AM
226752,"6406 N IH
AUSTIN, TX 78752
",RETAIL CENTER,226752_007,13.58,,10/01/2015 12:00:00 AM
226752,"6406 N IH
AUSTIN, TX 78752
",RETAIL CENTER,226752_006,13.58,,10/01/2015 12:00:00 AM
226752,"6406 N IH
AUSTIN, TX 78752
",RETAIL CENTER,226752_005,13.58,,10/01/2015 12:00:00 AM
226752,"6406 N IH
AUSTIN, TX 78752
",RETAIL CENTER,226752_004,13.58,,10/01/2015 12:00:00 AM
226759,"6010 N IH
AUSTIN, TX 78723
",STORE\GROCERY,226759_001,14.81,,10/01/2015 12:00:00 AM
226760,"6007 N IH
AUSTIN, TX 78744
",RESTAURANT\BAR,226760_Campus,2.62,,10/01/2015 12:00:00 AM
226762,"6021 N IH
AUSTIN, TX 78744
",RETAIL CENTER,226762_001,13.83,,10/01/2015 12:00:00 AM
226763,"6121 N IH
AUSTIN, TX 78752
",MOTEL\HOTEL (W/sqft &gt; 3),226763_001,17.60,,10/01/2015 12:00:00 AM
226766,"6448 E US 290 HWY
AUSTIN, TX 78752
",WAREHOUSE,226766_Campus,0.64,,10/01/2015 12:00:00 AM
"226784, 226780","6633 E US 290 HWY
AUSTIN, TX 78723-1125
",OFFICE LG &gt; 35000 (W/sqft &gt; 5),226784_001,25.31,,10/01/2015 12:00:00 AM
226854,"7501 E US 290 HWY
AUSTIN, TX 78723
",BANKING,226854_001,19.92,,10/01/2015 12:00:00 AM
227108,"9475 E US 290 HWY
AUSTIN, TX 78724
",OFFICE LG &gt; 35000,227108_001,14.96,,10/01/2015 12:00:00 AM
227108,"9475 E US 290 HWY
AUSTIN, TX 78724
",OFFICE LG &gt; 35000,227108_002,14.96,,10/01/2015 12:00:00 AM
228181,"1130 CAMINO LA
AUSTIN, TX 78752
",DORMITORY\RETIREMENT FACILITY,228181_001,6.32,,10/01/2015 12:00:00 AM
228183,"6210 E U S
Austin, TX 78752
",OFFICE LG &gt; 35000 (W/sqft &gt; 5),228183_001,27.77,,10/01/2015 12:00:00 AM
228184,"6330 E US 290 HWY
AUSTIN, TX 78754
",OFFICE LG &gt; 35000 (W/sqft &gt; 5),228184_001,15.26,78.5,10/01/2015 12:00:00 AM
228185,"1051 CAMINO LA
COSTA Austin, TX 78752
",OFFICE LG &gt; 35000,228185_001,3.48,,10/01/2015 12:00:00 AM
228186,"6400 E US 290 HWY
AUSTIN, TX 78735
",INDUSTRIAL,228186_003,12.90,,10/01/2015 12:00:00 AM
228186,"6400 E US 290 HWY
AUSTIN, TX 78735
",INDUSTRIAL,228186_002,12.90,,10/01/2015 12:00:00 AM
228186,"6400 E US 290 HWY
AUSTIN, TX 78735
",INDUSTRIAL,228186_001,12.90,,10/01/2015 12:00:00 AM
228187,"6420 E US 290 HWY
AUSTIN, TX 78752
",OFFICE LG &gt; 35000 (W/sqft &gt; 5),228187_001,27.95,54,10/01/2015 12:00:00 AM
228244,"7031 E U S
Austin, TX 78723
",WAREHOUSE,228244_Campus,30.03,,10/01/2015 12:00:00 AM
228272,"7020 E US 290 HWY
AUSTIN, TX 78723
",INDUSTRIAL,228272_002,2.44,,10/01/2015 12:00:00 AM
228272,"7020 E US 290 HWY
AUSTIN, TX 78723
",INDUSTRIAL,228272_001,2.44,,10/01/2015 12:00:00 AM
228963,"405 W DENSON RD
AUSRIN, TX 78752
",EDUCATIONAL FACILITY,228963_Campus,9.50,94,10/01/2015 12:00:00 AM
228998,"6505 N IH 35 HWY
AUSTIN, TX 78752
",MOTEL\HOTEL (W/sqft &gt; 3),228998_Campus,31.45,,10/01/2015 12:00:00 AM
229000,"6603 N IH
AUSTIN, TX 78752
",MOTEL\HOTEL,229000_001,10.84,30,10/01/2015 12:00:00 AM
229001,"6711 N IH
AUSTIN, TX 78752
",MOTEL\HOTEL,229001_001,4.36,66.5,10/01/2015 12:00:00 AM
229003,"6513 N IH
AUSTIN, TX 78752
",RESTAURANT\BAR,229003_001,120.37,,10/01/2015 12:00:00 AM
230249,"6937 N IH
AUSTIN, TX 78752
",MEDICAL FACILITY,230249_001,25.58,49.5,10/01/2015 12:00:00 AM
230376,"7211 N IH 35 HWY
AUSTIN, TX 78752
",RETAIL CENTER,230376_001,2.46,,10/01/2015 12:00:00 AM
231374,"7100 N IH
AUSTIN, TX 78752
",MOTEL\HOTEL,231374_Campus,7.45,,10/01/2015 12:00:00 AM
231488,"7513 N IH
AUSTIN, TX 78752
",RETAIL CENTER,231488_001,18.17,,10/01/2015 12:00:00 AM
232640,"7400 N IH
AUSTIN, TX 78752
",MOTEL\HOTEL,232640_Campus,0.47,,10/01/2015 12:00:00 AM
232808,"1705 CENTRE PARK DR
AUSTIN, TX 78754
",OFFICE MED 10-35,232808_Campus,34.16,,10/01/2015 12:00:00 AM
233805,"6700 ARROYO
AUSTIN, TX 78756
",EDUCATIONAL FACILITY,233805_Campus,9.22,91.5,10/01/2015 12:00:00 AM
234110,"7622 N IH
AUSTIN, TX 78752
",MOTEL\HOTEL (W/sqft &gt; 3),234110_Campus,13.30,,10/01/2015 12:00:00 AM
234121,"7619 N IH
AUSTIN, TX 78752
",MOTEL\HOTEL (W/sqft &gt; 3),234121_Campus,14.77,,10/01/2015 12:00:00 AM
234125,"7625 N IH
AUSTIN, TX 78752
",OFFICE MED 10-35,234125_001,10.55,,10/01/2015 12:00:00 AM
234165,"7805 N IH
AUSTIN, TX 78752
",MOTEL\HOTEL,234165_Campus,12.78,,10/01/2015 12:00:00 AM
235461,"8025 N IH
AUSTIN, TX 78753
",COMPUTER DATA CENTER,235461_001,339.31,87,10/01/2015 12:00:00 AM
236520,"7800 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL,236520_003,10.39,,10/01/2015 12:00:00 AM
236520,"7800 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL,236520_002,10.39,,10/01/2015 12:00:00 AM
236534,"8010 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL (W/sqft &gt; 3),236534_001,13.95,71,10/01/2015 12:00:00 AM
236645,"9900 GILES LA
AUSTIN, TX 78754
",INDUSTRIAL (W/sqft &gt; 3),236645_001,36.02,,10/01/2015 12:00:00 AM
238203,"8128 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL,238203_Campus,12.84,,10/01/2015 12:00:00 AM
238208,"8300 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL,238208_Campus,9.90,,10/01/2015 12:00:00 AM
238283,"8221 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL,238283_001,0.19,33,10/01/2015 12:00:00 AM
239806,"8805 N IH
AUSTIN, TX 78753
",AUTOMOTIVE SERVICE,239806_002,12.49,,10/01/2015 12:00:00 AM
240605,"9001 N IH
AUSTIN, TX 78753
",OFFICE LG &gt; 35000,240605_Campus,21.83,,10/01/2015 12:00:00 AM
242066,"9010 N IH
AUSTIN, TX 78753
",RETAIL CENTER,242066_Campus,7.26,,10/01/2015 12:00:00 AM
243367,"9220 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL (W/sqft &gt; 3),243367_001,13.02,,10/01/2015 12:00:00 AM
243372,"9420 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL (W/sqft &gt; 3),243372_001,15.03,45,10/01/2015 12:00:00 AM
243378,"9106 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL (W/sqft &gt; 3),243378_001,18.74,,10/01/2015 12:00:00 AM
243457,"9501 N IH
AUSTIN, TX 78753
",INDUSTRIAL,243457_Campus,4.07,,10/01/2015 12:00:00 AM
243469,"9121 N IH
AUSTIN, TX 78753
",MOTEL\HOTEL,243469_Campus,9.80,,10/01/2015 12:00:00 AM
245129,"9535 N IH
AUSTIN, TX 78753
",WAREHOUSE (W/sqft &gt; 5),245129_Campus,74.58,,10/01/2015 12:00:00 AM
246689,"10108 N IH
AUSTIN, TX 78753
",STORE\GROCERY,246689_001,6.63,,10/01/2015 12:00:00 AM
246693,"9504 N IH
AUSTIN, TX 78753
",RESTAURANT\BAR,246693_001,9.76,,10/01/2015 12:00:00 AM
246705,"10100 N IH
AUSTIN, TX 78753
",MINI WAREHOUSE,246705_001,0.82,98.5,10/01/2015 12:00:00 AM
246707,"9914 N IH
AUSTIN, TX 78753
",RETAIL CENTER,246707_001,11.12,,10/01/2015 12:00:00 AM
246709,"9900 N IH
AUSTIN, TX 78753
",WAREHOUSE,246709_001,6.65,,10/01/2015 12:00:00 AM
246746,"10001 N IH
AUSTIN, TX 78753
",MINI WAREHOUSE,246746_001,4.24,95,10/01/2015 12:00:00 AM
246750,"10125 N IH
AUSTIN, TX 78753
",MINI WAREHOUSE,246750_001,7.38,,10/01/2015 12:00:00 AM
249362,"10500 N IH
AUSTIN, TX 78753
",WAREHOUSE,249362_001,5.22,,10/01/2015 12:00:00 AM
249362,"10500 N IH
AUSTIN, TX 78753
",WAREHOUSE,249362_002,5.22,,10/01/2015 12:00:00 AM
249369,"10214 N IH
AUSTIN, TX 78753
",INDUSTRIAL,249369_Campus,6.86,,10/01/2015 12:00:00 AM
249375,"10206 N IH
AUSTIN, TX 78753
",INDUSTRIAL (W/sqft &gt; 3),249375_Campus,13.26,,10/01/2015 12:00:00 AM
251492,"9012 N US 183 HWY
AUSTIN, TX 78747
",RETAIL CENTER,251492_003,7.87,,10/01/2015 12:00:00 AM
251492,"9012 N US 183 HWY
AUSTIN, TX 78747
",RETAIL CENTER,251492_002,7.87,,10/01/2015 12:00:00 AM
251492,"9012 N US 183 HWY
AUSTIN, TX 78747
",RETAIL CENTER,251492_001,7.87,,10/01/2015 12:00:00 AM
251528,"1925 GRAY BLVD
AUSTIN, TX 78758
",RETAIL CENTER,251528_Campus,21.83,,10/01/2015 12:00:00 AM
253333,"10701 PROVINES DR
AUSTIN, TX 78753
",RETAIL CENTER,253333_001,7.50,,10/01/2015 12:00:00 AM
254162,"1511 Cripple Creek
Austin, TX 78758
",EDUCATIONAL FACILITY,254162_Campus,10.34,77,10/01/2015 12:00:00 AM
258258,"2340 E BRAKER LA
AUSTIN, TX 78753
",INDUSTRIAL,258258_002,3.72,95,10/01/2015 12:00:00 AM
258258,"2340 E BRAKER LA
AUSTIN, TX 78753
",INDUSTRIAL,258258_001,3.72,,10/01/2015 12:00:00 AM
266837,"12425 Lamplight Village
Austin, TX 78758
",CITY OF AUSTIN,266837_001,19.49,,10/01/2015 12:00:00 AM
270963,"13900 N IH
AUSTIN, TX 78728
",INDUSTRIAL,270963_002,2.17,,10/01/2015 12:00:00 AM
276902,"15301 N IH
AUSTIN, TX 78660
",RETAIL CENTER,276902_002,0.12,,10/01/2015 12:00:00 AM
283424,"2000 SUNSET LA
AUSTIN, TX 78704
",EDUCATIONAL FACILITY,283424_Campus,9.83,88.5,10/01/2015 12:00:00 AM
283646,"1524 S IH
AUSTIN, TX 78701
",OFFICE LG &gt; 35000,283646_001,13.31,,10/01/2015 12:00:00 AM
283706,"1124 S IH
AUSTIN, TX 78704
",OFFICE LG &gt; 35000,283706_Campus,18.01,,10/01/2015 12:00:00 AM
283745,"1301 S IH
AUSTIN, TX 78741
",OFFICE MED 10-35,283745_001,11.34,,10/01/2015 12:00:00 AM
284226,"110 E LIVE OAKS ST
AUSTIN, TX 78704
",DORMITORY\RETIREMENT FACILITY,284226_001,15.61,,10/01/2015 12:00:00 AM
285343,"1946 S IH
AUSTIN, TX 78704
",OFFICE MED 10-35,285343_001,15.26,55,10/01/2015 12:00:00 AM
285415,"1825 S IH
AUSTIN, TX 78741
",INDUSTRIAL (W/sqft &gt; 3),285415_Campus,10.04,,10/01/2015 12:00:00 AM
285894,"2015 S IH
AUSTIN, TX 78741
",OFFICE LG &gt; 35000,285894_Campus,9.22,,10/01/2015 12:00:00 AM
285895,"2101 S IH
AUSTIN, TX 78741
",OFFICE LG &gt; 35000,285895_Campus,18.40,,10/01/2015 12:00:00 AM
285903,"2200 S IH
AUSTIN, TX 78704
",MOTEL\HOTEL,285903_002,9.57,,10/01/2015 12:00:00 AM
285903,"2200 S IH
AUSTIN, TX 78704
",MOTEL\HOTEL,285903_001,9.57,,10/01/2015 12:00:00 AM
285904,"2100 S IH
AUSTIN, TX 78704
",OFFICE LG &gt; 35000 (W/sqft &gt; 5),285904_Campus,41.93,,10/01/2015 12:00:00 AM
285943,"2121 S IH
AUSTIN, TX 78741
",MINI WAREHOUSE,285943_001,2.00,98.5,10/01/2015 12:00:00 AM
285953,"2211 S IH
AUSTIN, TX 78741
",OFFICE LG &gt; 35000 (W/sqft &gt; 5),285953_001,19.15,,10/01/2015 12:00:00 AM
287448,"2520 S IH
AUSTIN, TX 78741
",OFFICE MED 10-35,287448_001,14.11,,10/01/2015 12:00:00 AM
287453,"2700 S IH
AUSTIN, TX 78741
",OFFICE MED 10-35,287453_Campus,16.96,,10/01/2015 12:00:00 AM
287456,"2550 S IH
AUSTIN, TX 78741
",OFFICE MED 10-35,287456_Campus,11.39,,10/01/2015 12:00:00 AM
287457,"2512 S IH
AUSTIN, TX 78741
",OFFICE MED 10-35,287457_001,9.87,,10/01/2015 12:00:00 AM
287460,"2707 S IH
AUSTIN, TX 78741
",MOTEL\HOTEL (W/sqft &gt; 3),287460_001,15.30,62,10/01/2015 12:00:00 AM
287463,"2607 S IH
AUSTIN, TX 78741
",MOTEL\HOTEL (W/sqft &gt; 3),287463_001,11.00,,10/01/2015 12:00:00 AM
288211,"1200 MONTOPOLIS REC CENTER
AUSTIN, TX 78741
",CITY OF AUSTIN,288211_001,22.63,,10/01/2015 12:00:00 AM
289707,"3000 S IH
AUSTIN, TX 78704
",OFFICE LG &gt; 35000 (W/sqft &gt; 5),289707_Campus,17.24,,10/01/2015 12:00:00 AM
289708,"2801 S IH
AUSTIN, TX 78761
",OFFICE LG &gt; 35000,289708_001,12.78,67,10/01/2015 12:00:00 AM
289711,"3017 S IH
AUSTIN, TX 78741
",MOTEL\HOTEL (W/sqft &gt; 3),289711_Campus,14.82,,10/01/2015 12:00:00 AM
289713,"2915 S IH
AUSTIN, TX 78741
",MOTEL\HOTEL (W/sqft &gt; 3),289713_Campus,12.42,,10/01/2015 12:00:00 AM
289736,"2711 S IH
AUSTIN, TX 78741
",MOTEL\HOTEL,289736_001,9.79,,10/01/2015 12:00:00 AM
291773,"3907 1 INDUSTRIAL DR
AUSTIN, TX 78744
",INDUSTRIAL,291773_Campus,9.94,94.5,10/01/2015 12:00:00 AM
291815,,INDUSTRIAL (W/sqft &gt; 3),291815_001,8.31,,10/01/2015 12:00:00 AM
291960,"2381 E US 71 HWY
AUSTIN, TX 78617
",MINI WAREHOUSE,291960_002,0.17,,10/01/2015 12:00:00 AM
291993,"2751 E US 71 HWY
AUSTIN, TX 78617
",MOTEL\HOTEL,291993_Campus,10.59,,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_001,38.48,,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_002,38.48,69.5,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_003,38.48,29.5,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_004,38.48,72,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_005,38.48,64,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_006,38.48,,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_007,38.48,81,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_008,38.48,,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_009,38.48,,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_011,38.48,,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_010,38.48,,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_012,38.48,9.5,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_013,38.48,,10/01/2015 12:00:00 AM
292254,"2500 E SH 71 HWY
AUSTIN, TX 78617
",CITY OF AUSTIN,292254_014,38.48,,10/01/2015 12:00:00 AM
300239,"9201 CIRCUIT OF THE AMERCIAS BLVD
AUSTIN, TX 78716
",CONGREGATION FACILITY,300239_001,66.59,,10/01/2015 12:00:00 AM
300239,"9201 CIRCUIT OF THE AMERCIAS BLVD
AUSTIN, TX 78716
",CONGREGATION FACILITY,300239_PIT,66.59,,10/01/2015 12:00:00 AM
300239,"9201 CIRCUIT OF THE AMERCIAS BLVD
AUSTIN, TX 78716
",CONGREGATION FACILITY,300239_GrandStand,66.59,,10/01/2015 12:00:00 AM
