Building ID,MapLot,Year Added,2016 Report Received,Report Type,Buildings Included,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Indoor Water Intensity (All Water Sources) (gal/ft2)
243-3,157-64,2015,Yes,Parent,"243-3, 243-5",47 Oxford St,"30 Mellen St
Cambridge, MA
(42.38078580800004, -71.11878127799997)",Nonresidential,College/University,1970,90700,Lesley College,,,1556024.9,5309157.7,22549.99966,2255000,,,,,,,,,,7564157.6,7474042.7,83.4,82.4,19038505.1,18795903.9,209.9,207.2,633.4,7,3799.4,41.89
437-3,161-58,2015,Yes,Child,"437-1, 437-3, 437-9",962 Memorial Dr,"85 Dunster St
Cambridge, MA
(42.37115500600004, -71.11999126299997)",Residential,Residence Hall/Dormitory,1762,254698,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,952868.9,3251189,6915.00165,691500.2,,,,,,,,21884998.5,,25827687.6,,101.4,,37263361.1,,146.3,,1804.4,7.1,7529.9,
708-20,57-171,2015,Yes,Single,,106 Vassar St,"120 Vassar St
Cambridge, MA
(42.35942123900003, -71.09628007199996)",Nonresidential,College/University,2002,122080,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,2966792.8,10122698.3,,,,,,,,,16928579.6,7265489.2,,34316767.1,,281.1,,57454534.4,,470.6,,2353.9,19.3,8577.2,
245-9,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",676-694 Huron Ave,"50 Fresh Pond Pl
Cambridge, MA
(42.37966670700007, -71.15322079799995)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
387-28,242-38,2015,Yes,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.37220282100003, -71.13761762899998)",Nonresidential,K-12 School,1926,143841,Shady Hill School,,,898460.8,3065548.8,43589.7132503,4358971.3,,,,,,,,,,7424520.1,7336892.4,51.6,51,14202743,14084892.4,98.7,97.9,528.1,3.7,1100.3,
668-68,52A-22,2015,Yes,Single,,31 Ames St,"31 Ames St
Cambridge, MA
(42.360471724000035, -71.08796006499995)",Nonresidential,College/University,1994,260390,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,10138510.3,34592601.2,1477.999975,147800,,,,,,,30195059.4,58808070,,123743530.6,,475.2,,209719542.2,,805.4,,8850.6,34,29419.4,
2-9,185-58,2015,No,Single,,39 Matignon Rd,"39 Matignon Rd
Cambridge, MA
(42.40185283300008, -71.13273171199995)",Nonresidential,,,,Roman Catholic Archbishop Of Boston,Corporation Sole,,,,,,,,,,,,,,,,,,,,,,,,,,
323-1,137-2,2015,Yes,Single,,38 Quincy St,"485 Broadway
Cambridge, MA
(42.37478447800004, -71.11424518099994)",Nonresidential,Museum,1960,49869,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,689154.8,2351396.3,,,,,,,,,2379151.3,2873349.7,,7603897.4,7585802.2,148.4,148,13219293.6,13197524.4,257.9,257.5,543.7,10.6,104.2,
241-10,144-1,2015,Yes,Single,,2 Oxford St,"12 Oxford St
Cambridge, MA
(42.377251913000066, -71.11600746799996)",Nonresidential,College/University,2003,60118,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1787490.3,6098917.7000000002,,,,,,,,,6468243.2000000002,7112388,,19679548.899999999,19115153.5,327.3,318,34175339.899999999,33529162.100000001,568.5,557.70000000000005,1403.2,23.3,1791.9,29.81
288-2,217-18,2015,Yes,Child,"288-13, 280-4, 280-7, 288-2, 288-3, 288-8, 288-9, 288-10, 288-11, 288-12, 288-13, 288-14, 288-15",99 Brattle St,"2 St Johns Rd
Cambridge, MA
(42.37728221700007, -71.12540749799996)",Residential,College/University,1924,210512,Episcopal Divinity School,,,966800.9,3298724.9,58306.9965809,5830699.7,,,,,,,,,,9129424.6,9070319.9,43.4,43.1,16480231,16418171,78.3,78,628.8,3,2584.5,12.28
666-13,53-71,2016,Yes,Child,"666-9, 666-13, 666-3",68 Albany St,"68 Albany St
Cambridge, MA
(42.36136335700007, -71.09476911299998)",Nonresidential,College/University,1978,5957,Massachusetts Institute Of Tech,C/O Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
245-27,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",676-694 Huron Ave,"10 Fresh Pond Pl
Cambridge, MA
(42.38022518900004, -71.15340711499994)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
568-1,42-86,2016,Yes,Single,,205 Broadway,"60 Hampshire St
Cambridge, MA
(42.367405484000074, -71.09317000099998)",Nonresidential,Laboratory,1999,39014,BMR-Hampshire LLC,c/o Biomed Realty Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
417-28,39-179,2016,Yes,Single,,278 Cardinal Medeiros Ave,"1900 One Kendall Square Complex
Cambridge, MA
(42.36679362800004, -71.10600609899996)",Nonresidential,Movie Theater,1988,25800,"Dwf Iv One Kendall Garage, Llc",Attn: NXS 300372-FAONEK,,,,,,,,,,,,,,,,,,,,,,,,,,
267-10,255-100,2015,Yes,Parent,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",18 Cushing Court,"64-8 Lawn St
Cambridge, MA
(42.377974004000066, -71.15399999699997)",Residential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,65,683629.9,2332545.6,155696.00071,15569600.1,,,,,,,,,,17902145.6,17854161.9,89.2,89,23672273.1,23596227.8,118,117.6,1052.6,5.2,17212.7,71.21
318-10,159-1,2015,Yes,Parent,"318-10, 318-9, 318-1",1341 Massachusetts Ave,"17 Quincy St
Cambridge, MA
(42.37355044900005, -71.11482779899995)",Residential,Residence Hall/Dormitory,1974,44776,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,505176,1723660.7,5521.00095,552100.1,,,,,,,,4043999.2,,6319760,,141.1,,10857096.9,,242.5,,464.6,10.4,5436.1,
241-53,144-1,2015,Yes,Single,,2 Oxford St,"20 Oxford St
Cambridge, MA
(42.37799202700006, -71.11628719699996)",Nonresidential,College/University,1964,170771,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1368916.1,4670742.1,2907.132791,290713.3,,,,,,,2470503.4,8158581.1,,15590539.9,15441848.6,91.3,90.4,27256991,27104294.8,159.6,158.7,1139.2,6.7,824.5,4.83
241-21,144-1,2015,Yes,Single,,2 Oxford St,"38 Oxford St
Cambridge, MA
(42.379239117000054, -71.11652119999997)",Nonresidential,Laboratory,1931,219498,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,5951690.2,20307169.3,31221.34282,3122134.3,,,,,,,16570491.9,21976630.6,,61976426,61421562.9,282.4,279.8,110052034.2,109477037.1,501.4,498.8,4462.9,20.3,6885.2,
387-12,242-38,2015,Yes,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.37220282100003, -71.13761762899998)",Nonresidential,K-12 School,1926,143841,Shady Hill School,,,898460.8,3065548.8,43589.7132503,4358971.3,,,,,,,,,,7424520.1,7336892.4,51.6,51,14202743,14084892.4,98.7,97.9,528.1,3.7,1100.3,
59-42,268A-32,2015,Yes,Child,"59-16, 59-27, 59-25, 59-22, 59-19, 59-42 ,59-40, 59-39, 59-38, 59-37, 59-36, 59-31, 59-28",324 Rindge Ave,"109 Jackson Pl
Cambridge, MA
(42.392278402000045, -71.13507091199995)",Residential,Multifamily Housing,1952,207765,Cambridge Housing Authority,,63,1111397.9,3792090,125225.0028,12522500.3,,,,,,,,,93191,16632557.9,16594658.7,80.1,79.9,25373755.5,25334596.6,122.1,121.9,1062.8,5.1,16211.8,68.57
318-9,159-1,2015,Yes,Child,"318-10, 318-9, 318-1",1341 Massachusetts Ave,"22 Harvard Yard
Cambridge, MA
(42.37461640300006, -71.11866547199998)",Residential,Residence Hall/Dormitory,1974,44776,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,505176,1723660.7,5521.00095,552100.1,,,,,,,,4043999.2,,6319760,,141.1,,10857096.9,,242.5,,464.6,10.4,5436.1,
249-9,224-42,2015,Yes,Child,"249-17, 249-9, 249-20",5 Craigie Cir,"3 Craigie Cir
Cambridge, MA
(42.37904417400006, -71.12715270799998)",Residential,Multifamily Housing,1930,115986,"Rothrob Holdings, LLC",,73,339341,1157831.5,97823.00196,9782300.2,,,,,,,,,,10940131.7,10785729.1,94.3,93,13907006.1,13744883.3,119.9,118.5,631.6,5.4,31088.9,268.04
241-41,144-1,2015,Yes,Child,"241-45, 241-8, 241-4, 241-41",2 Oxford St,"18 Oxford St
Cambridge, MA
(42.37780619900008, -71.11621457099994)",Nonresidential,Laboratory,1958,254734,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,6371752.9,21740423.6,,,,,,,,,23578011.4,19683290.8,,65001725.8,63949202.3,255.2,251,115522749.4,114430362.9,453.5,449.2,4652.8,18.3,3711.7,
241-14,144-1,2015,Yes,Single,,2 Oxford St,"17 Kirkland St
Cambridge, MA
(42.37639641100003, -71.11532679699997)",Residential,Residence Hall/Dormitory,1894,50686,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",99,149416.3,509808.4,2821.427988,282142.8,,,,,,,,1074991.1,,1866942.3,1851523,36.8,36.5,3190306.7,3171791,62.9,62.6,135.7,2.7,1015,20.02
44-6,265D-50,2016,Yes,Single,,36 Cambridgepark Dr,"36 Cambridgepark Dr
Cambridge, MA
(42.394621862000065, -71.14364110699995)",Nonresidential,Office,1983,141540,"Properties At Cambridge Park, Llc,", ,,,,,,,,,,,,,,,,,,,,,,,,,,
106-28,204-147,2015,Yes,Child,"106-26, 106-49, 106-46, 106-32, 106-31, 106-28",181 Walden St,"52 Lincoln Way
Cambridge, MA
(42.38795421000003, -71.12929944799998)",Residential,Multifamily Housing,1950,105728,Cambridge Affordable Presidential,Apartments LLC.,82,506902.9,1729553,45476.00153,4547600.2,,,,,,,,,134165,6734924.1,6707950.6,63.7,63.4,10663547.5,10636109.1,100.9,100.6,453.2,4.3,5098.7,44.17
44-2,267.4-319,2015,Yes,Single,,150 Cambridgepark Dr,"150 Cambridgepark Dr
Cambridge, MA
(42.394881776000034, -71.14636495999997)",Nonresidential,Office,1986,274484,Spus7 150 Cambridgepark Lp,C/O Cbre-New England,52,6986072.8,23836483.4,70064.76635,7006476.6,,,,,,,,,,30842960.1,30533274.7,110.3,109.2,82203358.5,81601992.8,294,291.9,2678.2,9.6,4711.9,
195-1,212-58,2015,Yes,Single,,44 Linnaean Street,"44 Linnaean Street
Cambridge, MA
(42.38343390400007, -71.12366852199995)",Municipal,K-12 School,1960,78732,City Of Cambridge,,88,286054.3,976017.5,9506.8634168,950686.3,,2362283.8,,,,,,,,4288987.7,4143632.7,54.5,52.6,6448822.4,6300995,81.9,80,320.2,4.1,111158.1,
557-8,41-38,2015,Yes,Single,,1A Kendall Sq,"300 One Kendall Square Complex
Cambridge, MA
(42.36679362800004, -71.10600609899996)",Nonresidential,Office,1988,71730,"Rb Kendall Fee,LLC.","C/O Dwf Iv One Kendall, LLC",,,,,,,,,,,,,,,,,,,,,,,,,4610.5,64.28
718-5,100-62,2015,Yes,Parent,"718-5, 718-6, 718-7",727 Memorial Dr,"748 Memorial Dr
Cambridge, MA
(42.357710574000066, -71.11525686499994)",Nonresidential,Other - Mall,1948,62555,New Creek LLC,C/O Kimco Realty Corp,,677419.4,2311355.4,9304.3641746,930436.4,,,,,,,,,,3241791.8,3231297.2,51.8,51.7,8234614.3,8223594.9,131.6,131.5,273,4.4,405.9,6.49
718-6,100-62,2015,Yes,Child,"718-5, 718-6, 718-7",727 Memorial Dr,"750 Memorial Dr
Cambridge, MA
(42.35815930500007, -71.11539556299994)",Nonresidential,Other - Mall,1948,62555,New Creek LLC,C/O Kimco Realty Corp,,677419.4,2311355.4,9304.3641746,930436.4,,,,,,,,,,3241791.8,3231297.2,51.8,51.7,8234614.3,8223594.9,131.6,131.5,273,4.4,405.9,6.49
358-11,7-115,2016,No,Single,,219-221 Monsignor Obrien Hwy,"215 Monsignor Obrien Hwy
Cambridge, MA
(42.37265291400007, -71.07964166299996)",Nonresidential,,,,"Monsignor Hotel Llc,", ,,,,,,,,,,,,,,,,,,,,,,,,,,
44-1,267.4-316,2016,Yes,Single,,160 Cambridgepark Dr,"160 Cambridgepark Dr
Cambridge, MA
(42.39507175800003, -71.14737547699997)",Residential,Multifamily Housing,2015,546321,Cambridge Park Apartment Ltd Ptshp,C/O Marvin F. Poer & Company,,,,,,,,,,,,,,,,,,,,,,,,,,
76-17,267F-286,2015,Yes,Single,,55 Wheeler St,"55 Wheeler St
Cambridge, MA
(42.39118703400004, -71.14427748899993)",Nonresidential,Office,1970,130245,Ona Ii Wheeler LLC,C/O O'Connor Capital Partners,67,2401819.7,8195009.8,36390.9995532,3639100,,,,,,,,,,11834109.7,11765457.5,90.9,90.3,29553385.7,29356663.4,226.9,225.4,986.1,7.6,3654.2,28.06
366-5,135-2,2015,Yes,Single,,454-456 Broadway,"454-456 Broadway
Cambridge, MA
(42.37342784700007, -71.11150568599999)",Municipal,Vocational School,2005,21097,City Of Cambridge,,,141187.1,481730.4,2530.28031116,253028,,961584,,,,,,,,1696342.4,1674275.4,80.4,79.4,2749512.7,2723609.1,130.3,129.1,131.4,6.2,13580.9,
206-18,213-2A,2015,Yes,Child,"206-12, 206-14, 206-18, 206-8, 206-17, 206-6 ",52-70 Linnaean St,"46 Linnaean St
Cambridge, MA
(42.38324797000007, -71.12405769399999)",Residential,Residence Hall/Dormitory,1901,172773,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,675247.9,2303946.1,136150.986,13615098.6,,4140,,,,,,,,15923184.699999999,,92.2,,21534425.600000001,,124.6,,946.4,5.5,2816.4,
668-35,52A-21,2015,Yes,Single,,33 Massachusetts Ave,"127 Massachusetts Ave
Cambridge, MA
(42.36003126400004, -71.09457888999998)",Nonresidential,College/University,1952,68012,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1305292,4453657,,,,,,,,,4444513.8,9680953.4,,18579124.2,,273.2,,30075581.5,,442.2,,1307.9,19.2,279,
188-1,208-16,2016,Yes,Child,"184-1, 184-2, 184-3, 184-8, 184-4, 184-5, 184-6, 184-7, 188-2, 188-1",5-15 Fernald Dr,"12 Robinson St
Cambridge, MA
(42.38367283800005, -71.12616043299994)",Residential,Multifamily Housing,1949,202814,President & Fellows Of Harvard College,C/O Harvard Resl Estate Inc,,,,,,,,,,,,,,,,,,,,,,,,,,
106-68,203B-66,2015,Yes,Child,"106-6, 106-65, 106-5, 106-66, 106-67, 106-16, 106-68, 106-4, 106-69, 106-70, 106-14, 106-63, 106-7, 106-64",102 Sherman Street,"9 Walden Square Rd
Cambridge, MA
(42.389571604000025, -71.13115824099998)",Residential,Multifamily Housing,1974,156003,WSQ Limited Partnership,"C/O Winn Residential, Attn: Li Sosna",63,689338.9,2352024.7,180331.1118,18033111.2,,,,,,,,,,20385135.8,19805880,130.7,127,26320124.2,25711905.5,168.7,164.8,1345,8.6,12937.6,
610-2,43A-24,2015,Yes,Single,,555 Technology Sq,"555 Technology Sq
Cambridge, MA
(42.364753895000035, -71.09130398099995)",Nonresidential,Laboratory,1976,457000,"Charles Stark Draper Laboratory, Inc.",Attn:  Elizabeth Mora - Ms #05,,19540718.7,66672940.4,540003.0195,54000302,,,,,,,,,,120673242.4,120044026.6,264.1,262.7,266053350,264638133.9,582.2,579.1,9318.5,20.4,14209.2,
489-3,121-2,2015,Yes,Single,,1050 Massachusetts Ave,"1050 Massachusetts Ave
Cambridge, MA
(42.36968293700005, -71.11225911199995)",Nonresidential,Office,1974,62474,"Dupree, Andrea & Elliot M. Suskin Trs.Of",The Thd-Gst 1997 Nominee Trust,72,769200.9,2624514,24499.998911,2449999.9,,,,,,,,,,5074513.8,4901958.3,81.2,78.5,10813473.7,10518482.8,173.1,168.4,384,6.1,1255.1,
2-11,185-58,2015,No,Single,,39 Matignon Rd,"33 Matignon Rd
Cambridge, MA
(42.40168266500007, -71.13252191599997)",Nonresidential,,,,Roman Catholic Archbishop Of Boston,Corporation Sole,,,,,,,,,,,,,,,,,,,,,,,,,,
417-30,39-173,2016,Yes,Single,,1 Kendall Sq-3,"1700 One Kendall Square Complex
Cambridge, MA
(42.36679362800004, -71.10600609899996)",Nonresidential,Office,1988,8539,"Dwf Iv One Kendall Garage, Llc",C/O Nxs#300372-F40Nek,,,,,,,,,,,,,,,,,,,,,,,,,,
226-39,156-26,2015,Yes,Single,,1637-1653 Massachusetts Avenue,"3 Mellen St
Cambridge, MA
(42.380856909000045, -71.11923949299995)",Residential,Residence Hall/Dormitory,2007,2489,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,10406.2,35505.8,220.1764702,22017.6,,,,,,,,,,57523.5,57507.6,23.1,23.1,134606.8,134590.1,54.1,54.1,4.6,1.8,53.6,
376-2,160-57,2016,No,Single,,24 Brattle St,"11 JFK St
Cambridge, MA
(42.373113782000075, -71.11974721699994)",Nonresidential,,,,"Brattle Square Llc,", ,,,,,,,,,,,,,,,,,,,,,,,,,,
267-14,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",18 Cushing Court,"23-1 Corcoran Ln
Cambridge, MA
(42.37699538000004, -71.15440230599995)",Residential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,65,683629.9,2332545.6,155696.00071,15569600.1,,,,,,,,,,17902145.6,17854161.9,89.2,89,23672273.1,23596227.8,118,117.6,1052.6,5.2,17212.7,71.21
643-8,44-106,2015,Yes,Single,,2 Cambridge Ctr,"50 Broadway
Cambridge, MA
(42.36334449800006, -71.08617512899997)",Nonresidential,Hotel,1986,330000,"Zuckerman, Mortimer B.,","Edward H. Linde & David Barrett, Trs.",38,5971478.2,20374686.1,187685.9952,18768599.5,,,,,,,,,,39143285.6,38944574.6,118.6,118,83683543.7,83150807.2,253.6,252,2968,9,15681,47.52
267-37,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",18 Cushing Court,"63-1 Thingvalla Ave
Cambridge, MA
(42.376224654000055, -71.15472536399994)",Residential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,65,683629.9,2332545.6,155696.00071,15569600.1,,,,,,,,,,17902145.6,17854161.9,89.2,89,23672273.1,23596227.8,118,117.6,1052.6,5.2,17212.7,71.21
358-7,7-29,2015,Yes,Single,,225 Monsignor Obrien Hwy,"225 Monsignor Obrien Hwy
Cambridge, MA
(42.373174876000064, -71.08065799599996)",Nonresidential,Manufacturing/Industrial Plant,1920,65704,Eastman Brook LLC,,,552999.9,1886836,49557.9997,4955800,,,,,,,,,,6842636,6788973,104.1,103.3,11128255,11071908.9,169.4,168.5,445.8,6.8,1154.4,
687-5,69-183,2015,Yes,Single,,88 Sidney St,"88 Sidney St
Cambridge, MA
(42.36059760100005, -71.10215859699997)",Nonresidential,Laboratory,2002,145275,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,4585090.5,15644330.8,150515.0045,15051500.4,,,,,,,,,,30695831.3,30671013.8,211.3,211.1,64927274.3,64901216,446.9,446.7,2313,15.9,3662.5,25.21
319-21,169-14,2016,Yes,Single,,51 Brattle St,"51 Brattle St
Cambridge, MA
(42.37432992000004, -71.12178618499996)",Nonresidential,Office,2006,46245,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
76-29,267F-298,2016,No,Single,,603 Concord Ave,"5 Wheeler St
Cambridge, MA
(42.38885418900003, -71.14413544499996)",Residential,,,,Acorn Holdings LLC, ,,,,,,,,,,,,,,,,,,,,,,,,,,
