Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommended Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Laundry,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Street Address
Jefferson At Falcon Ridge,329772,05/05/2011 12:00:00 AM,9%,10%,14,Complete,1999,Yes,Electric,299,7.99,02/26/2016 12:00:00 AM,"500 E Stassney Lane
Austin, TX 78745
(30.202229, -97.77077)"
San Remo Apartments,112447,02/15/2011 12:00:00 AM,38%,10%,38,Needed,1993,Yes,Electric,17,9.91,02/26/2016 12:00:00 AM,"2204 San
Gabriel Austin, TX 78705
(30.286068, -97.74805)"
Park Mesa,772877,02/22/2011 12:00:00 AM,48%,10%,24,Complete,1992,Yes,Electric,149,11.18,02/26/2016 12:00:00 AM,"5811 Mesa Dr
Austin, TX 78731
(30.343464, -97.771585)"
Spanish Trails,216396,04/29/2011 12:00:00 AM,39%,15%,N\A,Needed,1971,Yes,Gas and Electric,40,6.91,02/26/2016 12:00:00 AM,"4520 Bennett Avenue
Austin, TX 78751
(30.304896, -97.717183)"
State Street Apartments,121361,10/07/2010 12:00:00 AM,60%,15%,18,Needed,1963,Yes,Gas and Electric,15,6.54,02/26/2016 12:00:00 AM,"1808 W 35th St
Austin, TX 78703
(30.308256, -97.753389)"
1400 Rio Grande Apartments,199626,12/28/2010 12:00:00 AM,32%,10%,40,Needed,1970,Yes,Gas and Electric,19,4.39,02/26/2016 12:00:00 AM,"1400 Rio
Grande Austin, TX 78701
(30.278145, -97.746458)"
Hardrock Canyon,154592,04/07/2011 12:00:00 AM,72%,10%,17,Complete,1992,Yes,Gas and Electric,245,7.42,02/26/2016 12:00:00 AM,"10300 Jollyville Rd
Austin, TX 78759
(30.397025, -97.750008)"
Woodmark Apartments,251496,04/20/2011 12:00:00 AM,14%,15%,14,Needed,1984,Yes,Gas and Electric,161,11.24,02/26/2016 12:00:00 AM,"1735 Rutland
Austin, TX 78758
(30.376692, -97.710393)"
Pecan Square Apartments,212549,05/01/2011 12:00:00 AM,75%,10%,11,Needed,1978,Yes,Gas and Electric,27,13.71,02/26/2016 12:00:00 AM,"506 W 37Th St
Austin, TX 78705
(30.301742, -97.738178)"
Mark Embers,210208,01/06/2011 12:00:00 AM,8.8%,10%,N\A,Complete,1964,No,Gas and Electric,14,8.08,02/26/2016 12:00:00 AM,"3100 Speedway
Austin, TX 78705
(30.295316, -97.736854)"
108 Place Apartmants,220077,11/05/2012 12:00:00 AM,80%,10%,N\A,Needed,1972,Yes,Electric,29,9.49,02/26/2016 12:00:00 AM,"108 W 45Th St
Austin, TX 78751
(30.30886, -97.728865)"
Town Lake Villas,187588,04/08/2011 12:00:00 AM,27%,10%,18,Needed,1981,No,Electric,16,12.23,02/26/2016 12:00:00 AM,"2613 Cesar
Chavez Austin, TX 78702
(30.25357, -97.714453)"
Saltillo Apartments,227633,06/29/2011 12:00:00 AM,65%,10%,11,Needed,1972,Yes,Electric,40,14.72,02/26/2016 12:00:00 AM,"5317 Jeff Davis Ave
Austin, TX 78756
(30.326826, -97.73883)"
