Portfolio Manager ID,Property Name,Postal Code,Primary Property Type - EPA Calculated,Property Floor Area (Buildings and Parking) (ft²),Year Built,Number of Buildings,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Water Use (All Water Sources) (kgal),Total GHG Emissions (MtCO2e),Notes,geom
3875829,Grata Data Center,19141,Data Center,41740,1962,1,776012000,9821155.4,247888.2,Not Available,Not Available,Not Available,241.2,745.1,859.7,1256.9,,"1000 W Tabor Rd
Philadelphia, Pennsylvania
(40.03696333900007, -75.13905634799994)"
3773802,MidTown Garage,19102,Parking,97778,1984,1,883421500,1076756.6,186945.2,Not Available,Not Available,Not Available,12.9,36.6,12,146.3,,"1416 Chestnut St.
Philadelphia, Pennsylvania
(39.95096278600005, -75.16494351099993)"
3635022,Kawin LLC,19134,Strip Mall,52261,1983,2,882059600,118427.8,Not Available,Not Available,Not Available,Not Available,2.3,7.1,1.5,15,,"3501 Cedar Street
Philadelphia, Pennsylvania
(39.99198517100007, -75.09831627199998)"
3707307,PECO Oregon Shops,19148,Other - Utility,155863,1955,1,771601000,6768043.2,Not Available,Not Available,Not Available,Not Available,43.4,136.3,0.4,857.1,,"2610 S DELAWARE AVE
Philadelphia, Pennsylvania
(39.90120690600003, -75.14015933499996)"
3759390,1207 Chestnut,19107,Office,51676,1925,1,883311000,2756896,274307.8,Not Available,558808.5,44,69.5,186.1,985.2,413.2,,"1207-09 Chestnut Street
Philadelphia, Pennsylvania
(39.95043550400004, -75.16038633399995)"
3885144,Philadelphia-Southampton Road RC,19154-1212,Office,135162,1975,1,786503420,4286475.1,4935829.8,Not Available,Not Available,57,68.2,137.9,971.7,804.8,,"2700 Southampton Road
Philadelphia, Pennsylvania
(40.11366152100004, -74.98733540099994)"
4066717,Juvenile Justice Center,19139,Prison/Incarceration,160000,2013,1,783707500,11612666.9,17106948.4,Not Available,Not Available,Not Available,179.5,340.2,4.5,2378.5,,"91 N. 48th St.
Philadelphia, Pennsylvania
(39.96143241800007, -75.21639635099996)"
3957443,"3265 S 61ST ST ""Jerry's Corner""",19153,Other - Mall,55200,1955,1,882089000,2709085,1261536.7,Not Available,Not Available,Not Available,71.9,178.1,1179.9,410.1,,"3265 S 61ST ST
Philadelphia, Pennsylvania
(39.92078202400006, -75.21462279599996)"
3862659,"1,2,3,4-Main,Randell,Curtis,Alumni",19104,College/University,333089,1891,4,774516000,25909281.3,3102.7,Not Available,13008298.9,Not Available,116.8,291.2,16192.5,4433,,"3101 Chestnut Street
Philadelphia, Pennsylvania
(39.95370752100007, -75.18646698299995)"
3604321,Hamilton Family Children's Zoo and Faris Family Education Center,19104,Zoo,23683,2013,3,783172300,1236796.4,277258.2,Not Available,Not Available,Not Available,63.9,176.3,Not Available,171.3,,"3400 W Girard Avenue
Philadelphia, Pennsylvania
(39.97512250700004, -75.19514942899997)"
26081,12589 Ten Penn Center,19103,Office,718644,1981,1,883054000,27417272.7,Not Available,Not Available,9161858.8,99,50.9,135.1,8167.7,4283.2,,"1801 Market Street
Philadelphia, Pennsylvania
(39.95323739000003, -75.17014721599998)"
4104223,Amtrak Parking Garage,19104,Parking,475200,2004,1,883410400,3079049.2,Not Available,Not Available,Not Available,Not Available,6.5,20.3,Not Available,389.9,,"2931L Arch Street
Philadelphia, Pennsylvania
(39.956977461000065, -75.18145489799997)"
3882111,Care Pavilion Nursing,19139,Senior Care Community,98723,1972,1,881446200,10159410.8,5749757.1,Not Available,Not Available,Not Available,161.1,384.3,15965.8,1591.8,,"6212 Walnut Street
Philadelphia, Pennsylvania
(39.95942148800003, -75.24555743199994)"
3959542,Riverside Mr. Storage,19128,Self-Storage Facility,18000,2000,2,884083010,147828.7,5478.2,Not Available,Not Available,Not Available,8.5,26.1,Not Available,19,,"5026 Ridge Ave
Philadelphia, Pennsylvania
(40.015784851000035, -75.20925460799998)"
3831435,Four Points Hotel/Richfield Hosipitality,19114,Hotel,179000,1973,1,883760000,10250576.1,4430885.6,Not Available,Not Available,37,82,205.8,5597,1533.3,,"9461 Roosevelt Blvd
Philadelphia, Pennsylvania
(40.080079700000056, -75.02900467299997)"
3823128,Le Meridien Philadelphia Hotel,19102,Hotel,163000,1906,0,883057105,11481154.8,Not Available,Not Available,Not Available,9,95.6,247.6,6146.5,1671.3,,"1419 arch St
Philadelphia, Pennsylvania
(39.95454753400003, -75.16420720299999)"
3681375,Pepsi Bottling Group,19154,Manufacturing/Industrial Plant,228920,1969,2,884269000,32702866.7,22776757.7,Not Available,Not Available,Not Available,242.4,553,81210.9,5350.2,,"11701 Roosevelt Blvd
Philadelphia, Pennsylvania
(40.103732732000026, -75.00253477099994)"
3267049,Health Administration Building,19146,Office,77688,1959,1,782026200,7872712.3,2327391.8,Not Available,Not Available,22,131.3,349.7,1826.7,1120.5,,"500 South Broad Street
Philadelphia, Pennsylvania
(39.94451807400003, -75.16538483499994)"
3569461,301 E. CHELTEN AVENUE,19144,Other,85000,1930,1,883550200,3819826.1,291552.2,Not Available,Not Available,Not Available,48.4,144.7,848.2,499.2,,"301 E. CHELTEN AVENUE
Philadelphia, Pennsylvania
(40.03929210100006, -75.17121192399998)"
3962712,New Foundations Charter Elementary School,19136,K-12 School,50000,1999,1,778512302,3234958.5,1089498.6,Not Available,Not Available,11,86.5,226,294,467.5,,"8001 Torresdale Avenue
Philadelphia, Pennsylvania
(40.03583525500005, -75.02402751099999)"
1218039,Three Logan Square,19103,Office,1377698,1990,1,883059004,67375160.4,Not Available,Not Available,23197225.2,85,74.3,196.5,15393.8,10586,,"1717 Arch Street
Philadelphia, Pennsylvania
(39.95507758400004, -75.16856743699998)"
3862942,"KRG Enterprises, Inc.",19114,Manufacturing/Industrial Plant,216000,1965,1,884274000,5318393.6,Not Available,Not Available,Not Available,Not Available,24.7,77.4,525.1,674.8,,"9901 Blue Grass Road
Philadelphia, Pennsylvania
(40.08516276100005, -75.01971564599995)"
2867268,Penn Presbyterian Medical Center,19104,Hospital (General Medical & Surgical),959580,1922,10,774002001,91429180.3,73090356.7,Not Available,7258922.8,50,199.8,433.4,36534.4,16100.1,,"51 North 39th St
Philadelphia, Pennsylvania
(39.95759416800007, -75.19943591499998)"
1767519,61864 - 1701 JFK Blvd,19103,Office,1538959,2008,1,883056605,129168459.3,17304.2,Not Available,27253707,74,101.7,284.9,38103.8,18771.4,,"1701 JFK Blvd
Philadelphia, Pennsylvania
(39.954047444000025, -75.16836809199998)"
3773988,Little Flower Catholic High School,19140,K-12 School,184000,1939,2,777247000,1678954.8,1022906.7,2843352,Not Available,100,30.1,50.1,1601.9,477.9,,"1000 W. Lycoming Avenue
Philadelphia, Pennsylvania
(40.01353050100005, -75.14330657699998)"
3687911,Sheraton Suites Philadelphia Airport,19153,Hotel,192000,1985,1,883742000,10290308.8,8751420.8,Not Available,Not Available,51,99.3,216.3,10776.4,1769.4,,"4101 Island ave
Philadelphia, Pennsylvania
(39.89208892900007, -75.23495709699995)"
3698115,Legacy Youth Tennis and Education Center,19129,Other - Recreation,77000,2006,1,784377500,1617202.7,626108.4,Not Available,Not Available,Not Available,29.1,74.5,1593.5,238,,"4600 Ridge Avenue
Philadelphia, Pennsylvania
(40.01119852000005, -75.19995743399994)"
3958558,Warehouse,19131,Non-Refrigerated Warehouse,56976,1950,1,884219050,148284.2,301.8,Not Available,Not Available,96,2.6,8.2,32.1,18.8,,"884219050
Philadelphia, Pennsylvania
(39.95228311600005, -75.16244564499993)"
3675619,Philadelphia College of Osteopathic Medicine,19131,College/University,409268,1972,4,774010040,26890773.8,76905834.1,Not Available,Not Available,Not Available,253.6,403.6,17056.6,7486.9,,"4190 City Ave
Philadelphia, Pennsylvania
(40.00478086800007, -75.21881615499996)"
3330779,Turner,19143,K-12 School,190000,1971,1,783030800,4314914.1,5538627.6,Not Available,Not Available,24,51.9,101.9,3308.6,840.3,,"5900 BALTIMORE AVE
Philadelphia, Pennsylvania
(39.94527397000007, -75.24190210899997)"
2958969,6468 Philadelphia,19103,Supermarket/Grocery Store,79898,2001,1,882069750,7631074.5,3351243.2,Not Available,Not Available,90,137.5,343.9,7750.7,1144.3,,"Unit D 2550 Grant Ave.
Philadelphia, Pennsylvania
(40.078864915000054, -75.02529502099998)"
3330950,Birney,19141,K-12 School,59200,1913,1,785317200,1714344.7,7032162.4,Not Available,Not Available,25,147.7,215.7,2878.6,590.3,,"900 WEST LINDLEY AVE
Philadelphia, Pennsylvania
(40.02951873400008, -75.13814882599996)"
3796514,AHF/MONTGOMERY INC,19126,Senior Care Community,73382,1977,1,881447900,4804355.3,6970372.8,Not Available,Not Available,37,160.5,305.3,15297.2,978.3,,"600 w cheltenham av
Philadelphia, Pennsylvania
(40.05618570400003, -75.12754505199996)"
3875830,Center One,19115,Ambulatory Surgical Center,79485,1980,1,778025205,7748344.9,Not Available,Not Available,Not Available,Not Available,97.5,306.1,1405.2,981.2,,"9880 Bustleton Ave
Philadelphia, Pennsylvania
(40.09288202100004, -75.03169545499998)"
3237331,NE Reg Library/ Health Center #10,19149,Library,58009,1962,2,786082700,4052091.2,3862195.8,Not Available,Not Available,Not Available,136.4,289.2,1311.3,718.1,,"2230 Cottman Street
Philadelphia, Pennsylvania
(40.04848665700007, -75.06129637199996)"
3281373,Philadelphia Industrial Correction Center,19136,Prison/Incarceration,200000,1979,1,786504751,20291505.2,27767307.9,Not Available,Not Available,Not Available,240.3,464.4,90611.5,4043.4,,"8203 State Road
Philadelphia, Pennsylvania
(40.034545810000054, -75.01577636099995)"
3960550,New Foundations Charter High School,19136,K-12 School,50000,2012,1,884253450,4716376.9,1250850.5,Not Available,Not Available,1,119.3,322.5,244.7,663.7,,"4850 Rhawn Street
Philadelphia, Pennsylvania
(40.03235009300005, -75.02289821499994)"
3289919,Holmesburg Complex,19136,Other - Public Services,716651,1896,3,786537201,5210656.3,7351227.5,243971.6,Not Available,Not Available,17.9,33.9,2771.5,1068.1,,"8215 Torresdale Avenue
Philadelphia, Pennsylvania
(40.03688798300004, -75.02199537999996)"
3641781,925 Chestnut Street,19107,Medical Office,262308,1931,1,883313700,20273390.9,Not Available,Not Available,14335164,56,131.9,308.4,Not Available,3836.6,,"925 Chestnut Street
Philadelphia, Pennsylvania
(39.94994762500005, -75.15626682899995)"
3820208,PreFlight Airport Parking PHL,19153,Parking,221000,1959,1,884171500,2331351.4,Not Available,Not Available,Not Available,Not Available,10.5,33.1,145,295.2,,"4700 Island Ave
Philadelphia, Pennsylvania
(39.88542399000005, -75.23127614799995)"
3773373,FORMAN MILLS 106,19139,Retail Store,52656,1920,1,884247008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,"4806 Market Steet
Philadelphia, Pennsylvania
(39.95902165700005, -75.21723894699994)"
3819916,Shallcross,19154,K-12 School,67938,1929,1,786590000,2377969.2,6691775.2,770592,Not Available,9,144.8,224.8,3701.5,713.4,,"3901 Woodhaven Rd
Philadelphia, Pennsylvania
(40.089541573000076, -74.97407943399998)"
3830390,Salvation Army Kroc Center,19129,Other,130620,2010,1,776293510,13366052.8,13058898.9,Not Available,Not Available,Not Available,202.3,426.3,2544.6,2385.7,,"4200 Wissahickon Ave
Philadelphia, Pennsylvania
(40.01265134500005, -75.16898686799993)"
3960818,800 Building,19122,Office,222640,1900,1,781293900,8619670.8,255371.4,Not Available,Not Available,Not Available,46.1,141.9,19431.1,1167.5,,"800-16 W Mongomery Avenue
Philadelphia, Pennsylvania
(39.97898851200006, -75.14824075799999)"
3512108,20642,19126,Office,57899,1905,1,776614005,8667824.3,Not Available,89651.7,Not Available,1,151.3,471.6,2505,1104.4,,"6468 N BROAD ST
Philadelphia, Pennsylvania
(40.05159409500004, -75.14196462899997)"
3965468,Allegheny Business Center,19132,Adult Education,87756,1915,1,884558100,1161103.6,774906.4,Not Available,Not Available,Not Available,22.1,50.8,5.6,188.1,,"2233 West Allegheny Avenue
Philadelphia, Pennsylvania
(40.00344807000005, -75.16689662899995)"
3751369,Lutheran Theological Seminary of Philadelphia,19119,College/University,259257,1889,6,775515000,5592626.3,5640290.1,95675.4,Not Available,Not Available,43.7,91,1760.2,1014.6,,"7301 Germantown Ave.
Philadelphia, Pennsylvania
(40.06150002800007, -75.19200484899994)"
3330766,Solis-Cohen,19149,K-12 School,91000,1948,1,786543600,1774474.1,6974244.2,Not Available,Not Available,20,96.1,141.7,2155.5,594.8,,"7001 HORROCKS ST.
Philadelphia, Pennsylvania
(40.04480897700006, -75.06642974399995)"
3856201,7746 Dungan,19111,Distribution Center,68827,1964,1,884221900,2233154,1911194.8,Not Available,Not Available,24,60.2,131,303.4,384.2,,"7746 Dungan Rd
Philadelphia, Pennsylvania
(40.064712590000056, -75.07145197399996)"
1585726,Hamilton Village,19104,Other,82452,1974,1,882937900,11154725.4,Not Available,Not Available,Not Available,Not Available,135.3,424.8,5860.1,1412.6,,"220 S. 40th Street
Philadelphia, Pennsylvania
(39.95331271600003, -75.20281195499996)"
3663692,0981-Philadelphia - Oxford Ave.,19111,Non-Refrigerated Warehouse,62835,2009,1,884220920,527283.7,Not Available,Not Available,Not Available,75,8.4,26.3,55,66.8,,"6204 Oxford Ave
Philadelphia, Pennsylvania
(40.04230301300004, -75.08848500299996)"
1299442,PA0143ZZ - RN NIX FED BLDG & USPO,19107,Office,405240,1937,1,781051010,11356558.8,Not Available,Not Available,6801563.3,91,45.9,110.8,2249.9,2040.4,,"900 MARKET STREET
Philadelphia, Pennsylvania
(39.95134303900005, -75.15531389199998)"
3956098,BARTON,19122,College/University,152006,2000,1,777512040,5367523,3567.5,Not Available,15295139.5,Not Available,171.2,267.2,9167.9,2316.2,,"1900 N. 13TH
Philadelphia, Pennsylvania
(39.98151748400005, -75.15506488299997)"
3788641,FORMAN MILLS 113,19134,Retail Store,53668,1988,1,882125501,3294093.9,Not Available,Not Available,Not Available,39,61.4,192.7,297.5,417.2,,"3500 ARAMINGO AVE
Philadelphia, Pennsylvania
(39.99293580300008, -75.09796367399997)"
3782900,ShopRite of Aramingo Avenue,19137,Supermarket/Grocery Store,74888,1995,1,882059425,15246713.1,7864770.5,Not Available,Not Available,25,308.6,749.6,2489.9,2348.2,,"3745 Aramingo Avenue
Philadelphia, Pennsylvania
(39.99559493900006, -75.09273031999999)"
3993123,Dickinson Square,19147,Other,69064,1950,1,883504600,1798160.2,836377.2,Not Available,Not Available,Not Available,56.1,138.9,668.3,272.1,,"1500 South Christopher Columbus Blvd
Philadelphia, Pennsylvania
(39.92812801700006, -75.14487537099996)"
3687923,Hotel Palomar Philadelphia,19103,Hotel,130294,1929,1,883050000,9840146.6,Not Available,Not Available,Not Available,49,75.5,237.1,7953.8,1246.1,,"117 South 17th Street
Philadelphia, Pennsylvania
(39.95083311700006, -75.16885841199996)"
4055796,Pathmark Store 6556,19131,Supermarket/Grocery Store,67133,1980,1,882092500,10517336.5,7013557.3,Not Available,Not Available,Not Available,261.1,601.6,4243,1704.1,,"4160 Monument Road
Philadelphia, Pennsylvania
(40.00225891500003, -75.21494793199997)"
3330862,Pratt,19132,K-12 School,59000,1952,1,785727200,741281.6,101983.7,4266624,Not Available,51,86.6,114.3,5741.8,415.9,,"2200 N 22ND ST
Philadelphia, Pennsylvania
(39.924708045000045, -75.18307466499994)"
3698453,Port Richmond Self Storage Corp.,19137,Self-Storage Facility,45912,1969,2,884205000,976198.4,724020.4,Not Available,Not Available,Not Available,37,83.3,145.8,162,,"2625 Wheatsheaf Lane
Philadelphia, Pennsylvania
(39.99403968900003, -75.08709419899998)"
4059761,BJ's Wholesale Club 162,19145,Wholesale Club/Supercenter,117867,2004,1,882245000,11632968.3,7212933.6,Not Available,Not Available,18,159.9,374.2,821.4,1856,,"2200 W. Oregon Ave.
Philadelphia, Pennsylvania
(39.918441004000044, -75.18450978599998)"
3330753,Ziegler,19149,K-12 School,21149,1956,1,786076410,1435239.4,2324225.9,Not Available,Not Available,16,177.8,328.5,1021.7,305.2,,"5935 SAUL ST
Philadelphia, Pennsylvania
(40.03014064300004, -75.07570139699999)"
3952478,Constitution Health Plaza,19145,Medical Office,289700,1920,5,773010000,16699836.1,71788580.1,Not Available,Not Available,Not Available,320.6,463.1,9840.7,5924.8,,"1930 South Broad Street
Philadelphia, Pennsylvania
(39.926467579000075, -75.16926456799996)"
3951344,Preferred Freezer Services-Phila,19148,Refrigerated Warehouse,168000,2007,1,884150410,15382814.3,184278.1,Not Available,Not Available,31,92.7,288.7,3307.2,1957.8,,"3101 South Third St
Philadelphia, Pennsylvania
(39.906793519000075, -75.15385625499994)"
3337457,Blankenburg,19131,K-12 School,64000,1925,1,783175200,896010.6,5990980.8,Not Available,Not Available,32,107.6,142.3,376,431.5,,"4612-72 W GIRARD AVE
Philadelphia, Pennsylvania
(39.97301667000005, -75.21426008199995)"
1066282,Philadelphia,19104,Hospital (General Medical & Surgical),1691520,1966,20,783531800,112737905.1,138737805.9,35790575,Not Available,Not Available,219,408.5,50950,24295.9,,"University and Woodland Avenues
Philadelphia, Pennsylvania
(39.95228311600005, -75.16244564499993)"
3498314,801 Market Street,19107,Office,616379,1909,1,882506315,22021754.3,Not Available,Not Available,16933926.5,95,63.2,145.2,9039.9,4288.1,,"801 Market Street
Philadelphia, Pennsylvania
(39.95119333200006, -75.15366731899996)"
3876329,Sheraton University City Hotel,19104,Hotel,252880,1976,1,883730000,13753772,6011333.9,Not Available,10503569,20,149.2,306.3,23619.7,2990.7,,"3501 Chestnut Street
Philadelphia, Pennsylvania
(39.95463741200007, -75.19397755599994)"
3635047,Samuel MV Hamilton Building,19102,College/University,240000,1905,1,772724100,14534557,12979808.7,Not Available,Not Available,Not Available,114.6,246.9,3149.6,2529.5,,"128 N. Broad Street
Philadelphia, Pennsylvania
(39.95567792300005, -75.16292471299994)"
3583473,Mitchell,19143,K-12 School,90000,1915,1,786264650,1382152.4,3817704,Not Available,Not Available,45,57.8,92.8,1742.1,377.6,,"5500 KINGSESSING AVE
Philadelphia, Pennsylvania
(39.93754676900005, -75.22307382399998)"
3330817,Bregy,19145,K-12 School,66000,1923,1,782008600,903887.6,4556883.7,Not Available,Not Available,56,82.7,115.5,397.3,356.3,,"1700 BIGLER ST
Philadelphia, Pennsylvania
(39.91475777900007, -75.17613949399998)"
3774014,Metro Storage East LLC-IS,19142,Self-Storage Facility,109580,1927,1,884791940,753500.6,323197.2,Not Available,Not Available,Not Available,9.8,24.7,14.9,112.6,,"2240 Island Ave.
Philadelphia, Pennsylvania
(39.915931114000045, -75.24535549699993)"
3347763,Overbrook School for the Blind,19151,K-12 School,310473,1900,1,774577000,8179870.8,40471271.4,Not Available,Not Available,20,156.7,219.6,Not Available,3183.8,,"6333 Malvern Avenue
Philadelphia, Pennsylvania
(39.98219941700006, -75.24993981199998)"
3782770,Roxborough Memorial Hospital,19128,Hospital (General Medical & Surgical),368366,1890,1,775003010,25637140.2,2032900.1,Not Available,Not Available,100,75.1,224.3,5983.5,3354.5,,"5800 Ridge Avenue
Philadelphia, Pennsylvania
(40.02877316000007, -75.21039533499999)"
1339876,3535 Market,19104,Medical Office,494608,1973,1,883073000,25643203.3,Not Available,Not Available,5926658.3,84,63.8,177.2,6680.6,3772.1,,"3535 Market Street
Philadelphia, Pennsylvania
(39.956100218000074, -75.19318607199995)"
3956649,PNAH,19140,College/University,169976,2000,1,777528500,18688701.1,18231,Not Available,73990255.9,Not Available,545.4,869,13176.9,8918.7,,"3307 N. Broad St.
Philadelphia, Pennsylvania
(40.003433090000044, -75.15249656299994)"
3751718,Hilton Garden Inn Center City,19107,Hotel,172000,2000,1,883705201,8894033.1,5321198.3,Not Available,Not Available,60,82.6,194.9,7575.2,1408.7,,"1100 Arch Street
Philadelphia, Pennsylvania
(39.95374189700004, -75.15796176099997)"
3958448,MERB,19140,College/University,485000,2000,1,777532000,82118378.2,138909.5,Not Available,55292297.6,Not Available,283.6,669.1,23308.3,15302.1,,"3500 N Broad Street
Philadelphia, Pennsylvania
(40.00623889700006, -75.15191465999999)"
3776439,Academic Properties,19104,Office,625368,1956,2,774524700,29709628.3,Not Available,Not Available,7585023.5,Not Available,64.5,177.1,5377.6,4433.9,,"3025-53 Market Street
Philadelphia, Pennsylvania
(39.95505306600006, -75.18479106399997)"
3951369,JM Auto Spot,19137,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",48000,1910,5,884201375,56447.8,Not Available,Not Available,Not Available,Not Available,1.2,3.7,Not Available,7.1,,"3711 Sepviva Street
Philadelphia, Pennsylvania
(39.99762340400008, -75.09671952899998)"
4092042,"American Metal & Rubber, Inc.",19132,Distribution Center,50000,1900,1,884766800,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,"2527-37 N Broad St
Philadelphia, Pennsylvania
(39.99138354200005, -75.15505497799995)"
3989966,Juniata,19124,Self-Storage Facility,59850,2005,1,884114205,516701.7,221388.6,Not Available,Not Available,Not Available,12.3,31,25.4,77.1,,"4123 &quot;G&quot; St.
Philadelphia, Pennsylvania
(39.95228311600005, -75.16244564499993)"
3970728,COFCO - 2200,19133,Distribution Center,55720,1986,1,884080340,1023629.7,1214863.9,Not Available,Not Available,23,40.2,80.6,81.6,194.1,,"2200 NORTH AMERICAN STREET
Philadelphia, Pennsylvania
(39.98403732300005, -75.13789073499998)"
4075686,Adams 1300 LP,19124,Manufacturing/Industrial Plant,60000,1929,4,884091000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.4,Not Available,,"1300 Adams Ave.
Philadelphia, Pennsylvania
(40.01047122800003, -75.09351356099995)"
3657730,Moore St Realty Inc,19148,Non-Refrigerated Warehouse,57542,1924,1,884004200,204178.9,Not Available,Not Available,Not Available,99,3.6,11.4,Not Available,25.9,,"624 Moore street
Philadelphia, Pennsylvania
(39.92631525100006, -75.15628960399994)"
3512080,20593,19139,Office,75676,1905,1,774605005,6770769.4,Not Available,1306367.2,Not Available,14,106.7,298.4,914,954.3,,"5650 CHESTNUT ST
Philadelphia, Pennsylvania
(39.95959219700006, -75.23419199399996)"
2858208,Anderson Hall,19102,College/University,138123,1916,1,771500000,5109081,3031712.2,Not Available,Not Available,Not Available,58.9,139.2,745.6,807.9,,"329-35 South Broad Street
Philadelphia, Pennsylvania
(39.94605776800006, -75.16497389999995)"
1973985,Shop Rite of Parkside Plaza,19131,Supermarket/Grocery Store,68325,2008,1,882920300,9872840.4,8092303.5,Not Available,Not Available,92,262.9,578.1,2542.3,1679.8,,"5200 Jefferson Street
Philadelphia, Pennsylvania
(39.979447839000045, -75.22548062399994)"
3892502,Cotswold Group - Hunting Park Plaza,19124,Retail Store,82617,1990,0,882050755,5102263.9,Not Available,Not Available,Not Available,69,61.8,193.9,166.6,646.1,,"700 East Hunting Park Avenue
Philadelphia, Pennsylvania
(40.01239323400006, -75.11455422699999)"
1496733,01973 - One Crescent Drive,19112,Office,79034,2005,1,788012000,4442120.3,32848.1,Not Available,Not Available,81,56.6,176.9,718.8,564.2,Four story multi-tenanted LEED Platinum office building.,"One Crescent Drive
Philadelphia, Pennsylvania
(39.896103294000056, -75.17572534899995)"
3876022,St. Monica Church,19145,Worship Facility,76863,1971,4,773143500,1560209.7,3751331,Not Available,Not Available,Not Available,69.1,115,77.1,396.7,,"1700 Ritners st.
Philadelphia, Pennsylvania
(39.92130305200004, -75.17578417799996)"
2215089,Elliott-Lewis Corporate HQ,19154,Non-Refrigerated Warehouse,62000,2000,1,884292573,2580474.1,1936228.5,Not Available,Not Available,43,72.9,163.5,Not Available,429.6,,"2900 Black Lake Place
Philadelphia, Pennsylvania
(40.11084750400005, -74.98319574599998)"
4139490,Viking Mill,19125,Other,74125,1885,2,884346690,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,"2019-53 e. boston st
Philadelphia, Pennsylvania
(39.98398860800006, -75.12897161899997)"
3569714,1163-65 S. BROAD STREET,19147,Office,52258,2012,1,883359300,2639869.2,90842,Not Available,Not Available,74,52.3,160.4,136.7,339.1,,"1163-65 S. BROAD STREET
Philadelphia, Pennsylvania
(39.93613008700004, -75.16709962999994)"
3689195,Cast Iron Building,19106,Office,124000,1881,1,781004550,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,"718 Arch Street
Philadelphia, Pennsylvania
(39.95302686700006, -75.15217295899998)"
