Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2015,251588,Taylor Doug-CPS,9912 S AVENUE H,60617,EAST SIDE,K-12 School,87628,1997,1,73,1061988,5319099,,,,72.8,101.8,80.400000000000006,110.1,496,5.7,41.715162679999999,-87.533786599999999,"(41.715162679999999, -87.533786599999999)"
2015,251523,Goethe Eleme-CPS,2236 N Rockwell Ave,60647,LOGAN SQUARE,K-12 School,80028,1910,1,96,1104032,3034139,,,,51.7,83.1,56.2,89.6,383,4.8,41.9226618,-87.693271929999995,"(41.9226618, -87.693271929999995)"
2015,242638,Ontario Street Lofts CA,411 W. Ontario Street,60654,NEAR NORTH SIDE,Multifamily Housing,261854,1994,1,100,1105512,8242986,,,,35.700000000000003,46.3,37.6,48.4,660,2.5,41.893083269999998,-87.639690270000003,"(41.893083269999998, -87.639690270000003)"
2015,250066,CDOT Central Office,1501 W. Pershing Rd.,60609,NEW CITY,Office,100000,1970,1,91,1110467,8962358,,,,100.7,129,108,136.6,699,7,41.823153210000001,-87.663599759999997,"(41.823153210000001, -87.663599759999997)"
2015,251858,Schneider-CPS,2957 N HOYNE AVE,60618,NORTH CENTER,K-12 School,51852,1889,1,53,1125924,3301325,,,,85.4,135,90.9,141.19999999999999,402,7.7,41.935549000000002,-87.680321070000005,"(41.935549000000002, -87.680321070000005)"
2015,251749,Webster-CPS,4055 W ARTHINGTON ST,60624,WEST GARFIELD PARK,K-12 School,60295,1962,1,48,1132892,3101772,,,,70.2,113,74,116.9,392,6.5,41.869721390000002,-87.726842250000004,"(41.869721390000002, -87.726842250000004)"
2015,251597,Okeeffe Elem-CPS,6940 S Merrill Ave,60649,SOUTH SHORE,K-12 School,95310,1925,1,94,1145199,4125754,,,,55.3,83.2,59.6,89,449,4.7,41.768699560000002,-87.57309463,"(41.768699560000002, -87.57309463)"
2015,251789,Saint Hedwig Parish,2226 North Hoyne Avenue,60647,LOGAN SQUARE,K-12 School,137844,1907,6,,1169586,9649337,,,,78.5,100.1,84.4,106.3,748,5.4,41.922252360000002,-87.680681710000002,"(41.922252360000002, -87.680681710000002)"
2015,251393,Waters Fine-CPS,4540 N CAMPBELL AVE,60625,LINCOLN SQUARE,K-12 School,62847,1911,1,57,1170824,4049484,,,,83.1,126.2,84.7,128,450,7.2,41.964227549999997,-87.691963459999997,"(41.964227549999997, -87.691963459999997)"
2015,161225,Langford Es-CPS,6010 S Throop St,60636,WEST ENGLEWOOD,K-12 School,78575,1907,1,80,1174808,4222666,,,,68.7,103.4,73.2,108.6,460,5.9,41.784507859999998,-87.657411800000006,"(41.784507859999998, -87.657411800000006)"
2015,172055,Catalyst-Maria,6727 S. California Avenue,60629,CHICAGO LAWN,K-12 School,175970,1951,1,99,1196768,7682917,,,,50.5,67.2,50.4,67.099999999999994,649,3.7,41.771053129999999,-87.692475569999999,"(41.771053129999999, -87.692475569999999)"
2015,251474,Audubon Elem-CPS,3500 N Hoyne Ave,60618,NORTH CENTER,K-12 School,72489,1893,1,90,1197083,3913537,,,,70.5,108.5,74.8,113.1,448,6.2,41.945413940000002,-87.681454009999996,"(41.945413940000002, -87.681454009999996)"
2015,251395,Mcclellan El-CPS,3527 S Wallace St,60609,BRIDGEPORT,K-12 School,58108,1883,1,56,1197484,3575083,,,,82.1,129.30000000000001,86.9,134.4,431,7.4,41.830357120000002,-87.64086107,"(41.830357120000002, -87.64086107)"
2015,251457,Fernwood Ele-CPS,10041 S Union Ave,60628,WASHINGTON HEIGHTS,K-12 School,67170,1901,1,73,1218975,2343074,,,,53,93.6,56,96.8,369,5.5,41.711061809999997,-87.640204069999996,"(41.711061809999997, -87.640204069999996)"
2015,251546,Reinberg Ele-CPS,3425 N MAJOR AVE,60634,PORTAGE PARK,K-12 School,82255,1928,1,96,1222898,3576536,,,,58.3,92.3,59.4,93.6,436,5.3,41.942635549999999,-87.768525249999996,"(41.942635549999999, -87.768525249999996)"
2015,251359,Kershaw Elem-CPS,6450 S Lowe Ave,60621,ENGLEWOOD,K-12 School,51900,1962,1,44,1229521,2505337,,,,72,125.1,75.8,129.6,380,7.3,41.776742290000001,-87.641157579999998,"(41.776742290000001, -87.641157579999998)"
2015,251486,RugglesMarth-CPS,7831 S PRAIRIE AVE,60619,GREATER GRAND CROSSING,K-12 School,99710,1925,1,79,1229986,4259721,,,,55.1,83.6,58.5,87.2,473,4.7,41.752275840000003,-87.617593959999994,"(41.752275840000003, -87.617593959999994)"
2015,251576,Henry Elemen-CPS,4250 N St Louis Ave,60618,IRVING PARK,K-12 School,90100,1904,1,59,1236033,5496286,,,,74.7,107.1,79.900000000000006,112.8,540,6,41.958722809999998,-87.715838450000007,"(41.958722809999998, -87.715838450000007)"
2015,251517,SkinnerNorth-CPS,650 W SCOTT,60610,NEAR NORTH SIDE,K-12 School,68922,1971,1,82,1243208,2908889,,,,60.2,101,63.6,104.7,404,5.9,41.905065,-87.644521999999995,"(41.905065, -87.644521999999995)"
2015,251668,Ravenswood E-CPS,4332 N PAULINA ST,60613,LAKE VIEW,K-12 School,76423,1884,1,68,1243373,4579867,,,,76.2,114,81,119.4,493,6.5,41.960926409999999,-87.671275399999999,"(41.960926409999999, -87.671275399999999)"
2015,251501,Mayer-CPS,2250 N Clifton Ave,60614,LINCOLN PARK,K-12 School,73514,1959,1,82,1245072,3240605,,,,61,99.5,64.5,103.2,422,5.7,41.922967229999998,-87.657521290000005,"(41.922967229999998, -87.657521290000005)"
2015,251442,Hinton Eleme-CPS,646 W 71st St,60621,ENGLEWOOD,K-12 School,71892,1965,1,83,1249805,3122029,,,,60.8,100.2,64.5,104.3,417,5.8,41.765584629999999,-87.641371849999999,"(41.765584629999999, -87.641371849999999)"
2015,251479,Bridge Eleme-CPS,3800 N New England Ave,60634,DUNNING,K-12 School,126934,1926,1,92,1273431,3689674,,,,39.1,62,39.799999999999997,62.8,452,3.6,41.949670689999998,-87.799390500000001,"(41.949670689999998, -87.799390500000001)"
2015,251433,Newberry Mat-CPS,708 W Willow St,60614,LINCOLN PARK,K-12 School,75176,1937,1,80,1277643,3599841,,,,64.900000000000006,103.6,68.400000000000006,107.4,448,6,41.913891999999997,-87.646358000000006,"(41.913891999999997, -87.646358000000006)"
2015,251505,Hawthorne El-CPS,3319 N Clifton Ave,60657,LAKE VIEW,K-12 School,71199,1954,1,85,1291235,3700425,,,,70.099999999999994,111.5,74.2,115.8,456,6.4,41.942311019999998,-87.657558570000006,"(41.942311019999998, -87.657558570000006)"
2015,251528,Oglesby-CPS,7646 S Green St,60620,AUBURN GRESHAM,K-12 School,77140,1907,1,60,1294661,4361624,,,,73.3,112.1,78.099999999999994,117.4,492,6.4,41.75480348,-87.646002820000007,"(41.75480348, -87.646002820000007)"
2015,251755,Rogers Eleme-CPS,7345 N WASHTENAW AVE,60645,WEST RIDGE,K-12 School,59810,1937,1,71,1299663,3261408,,,,76.3,125.5,77.599999999999994,127,434,7.3,42.01509489,-87.696448779999997,"(42.01509489, -87.696448779999997)"
2015,251539,Sayre Langua-CPS,1850 N NEWLAND AVE,60707,AUSTIN,K-12 School,79775,1925,1,81,1300650,4367908,,,,71.099999999999994,108.7,72.7,110.5,493,6.2,41.91381019,-87.799375749999996,"(41.91381019, -87.799375749999996)"
2015,251716,Pullman Elem-CPS,11311 S FORRESTVILLE AVE,60628,PULLMAN,K-12 School,80075,1909,1,36,1315347,7172764,,,,106,145.6,113.9,154.6,645,8.1,41.688690440000002,-87.608831649999999,"(41.688690440000002, -87.608831649999999)"
2015,251786,Saint Clement School,642 West Deming Place,60614,LINCOLN PARK,K-12 School,60994,1905,1,53,1321669,4323348,,,,92.6,142.5,99.6,149.80000000000001,495,8.1,41.927943999999997,-87.645176000000006,"(41.927943999999997, -87.645176000000006)"
2015,251790,Saint Monica School,5115 North Mont Clare Avenue,60656,NORWOOD PARK,K-12 School,54061,1958,1,52,1323409,3485470,,,,89,144.6,90.4,146,451,8.300000000000001,41.973931409999999,-87.804303140000002,"(41.973931409999999, -87.804303140000002)"
2015,251516,Lawrence Ele-CPS,9928 S Crandon Ave,60617,SOUTH DEERING,K-12 School,78589,1941,1,55,1324535,3813503,,,,65.400000000000006,103.9,71,109.8,469,6,41.71441592,-87.56747652,"(41.71441592, -87.56747652)"
2015,251394,Hale Element-CPS,6140 S Melvina Ave,60638,CLEARING,K-12 School,99233,1953,1,89,1326034,3913740,,,,52.8,83.4,56.2,86.9,474,4.8,41.778254609999998,-87.77898519,"(41.778254609999998, -87.77898519)"
2015,251691,Stone Schola-CPS,6239 N LEAVITT ST,60659,WEST RIDGE,K-12 School,70601,1927,1,54,1350094,4084522,,,,77,120.8,78.3,122.3,488,6.9,41.995451719999998,-87.684443740000006,"(41.995451719999998, -87.684443740000006)"
2015,250078,Westhaven Superblock,1815 W. MONROE STREET,60612,NEAR WEST SIDE,Multifamily Housing,483032,1969,1,100,1360048,6559000,,,,16.399999999999999,23.1,16.7,23.4,622,1.3,41.880052749999997,-87.672310850000002,"(41.880052749999997, -87.672310850000002)"
2015,251327,Clifton-Fullerton Hall,2350 N. Clifton Ave.,60614,LINCOLN PARK,College/University,92627,2000,1,,1368666,4782592,,,,66.400000000000006,100.6,69.8,104.2,529,5.7,41.925072290000003,-87.657856150000001,"(41.925072290000003, -87.657856150000001)"
2015,251593,Clay Element-CPS,13221 S Burley,60633,HEGEWISCH,K-12 School,81950,1917,1,59,1373141,6721988,,,,98.8,138.69999999999999,107.5,148.5,633,7.7,41.655085999999997,-87.544685999999999,"(41.655085999999997, -87.544685999999999)"
2015,252024,CICS Loomis,9535 S. Loomis St.,60643,WASHINGTON HEIGHTS,K-12 School,52000,1961,1,29,1386222,3502330,,,,94,154.4,99.1,159.80000000000001,465,8.9,41.720187580000001,-87.65671845,"(41.720187580000001, -87.65671845)"
2015,251874,Stagg Elemen-CPS,7424 S MORGAN ST,60621,ENGLEWOOD,K-12 School,68227,1969,1,53,1387486,3347923,,,,69.400000000000006,115.4,73.3,119.4,457,6.7,41.759006360000001,-87.64938411,"(41.759006360000001, -87.64938411)"
2015,250014,Mann Park,2949 East 131st Street,60633,HEGEWISCH,Other - Recreation,51273,1934,1,,1391755,5915773,,,,142.5,206.4,150.69999999999999,215,594,11.6,41.657316000000002,-87.552719999999994,"(41.657316000000002, -87.552719999999994)"
2015,251484,Jungman Elem-CPS,1746 S Miller St,60608,LOWER WEST SIDE,K-12 School,69850,1903,1,78,1395909,4015443,,,,77.5,123.1,82.4,128.80000000000001,494,7.1,41.858663049999997,-87.652562930000002,"(41.858663049999997, -87.652562930000002)"
2015,162296,Yeshiva Ohr Boruch,2828 W Pratt Blvd,60645,WEST RIDGE,K-12 School,60536,1964,1,63,1402002,3929888,,,,88.1,140.9,89.4,142.30000000000001,490,8.1,42.005607300000001,-87.701205250000001,"(42.005607300000001, -87.701205250000001)"
