Portfolio Manager ID,Property Name,Postal Code,Primary Property Type - EPA Calculated,Property Floor Area (Buildings and Parking) (ftÂ²),Year Built,Number of Buildings,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ftÂ²),Source EUI (kBtu/ftÂ²),Water Use (All Water Sources) (kgal),Total GHG Emissions (MtCO2e),Notes,Location 1
3820168,Moore College of Art and Design Peter Hall,19103,College/University,110000,1957,2,772521000,5411520.7,"8,044,315.00",Not Available,Not Available,Not Available,122.3,126,3081.1,427.3,,"1920-1934 Race Street
"
3696901,Griffith Hall,19104,College/University,113332,1928,1,773500500,9206609.8,"675,182.70",Not Available,Not Available,Not Available,87.2,261.3,1861.9,1268.3,,"4247 Woodland Ave
(41.588795, -93.762491)"
3956647,IBC REC CTR,19121,College/University,69093,2000,1,777572705,2805083.7,Not Available,Not Available,Not Available,Not Available,100.7,199.8,4430.3,651.3,,"1449 C.B. MOORE
"
3958445,Pearson/Mcgonigle,19122,College/University,449750,1969,1,777508500,17701790.4,"559,476.30",Not Available,"11,481,504.10",Not Available,66.1,155.6,4330.8,3161.7,,"1800-38 N. Broad St.
"
3958446,RITTER HALL,19122,College/University,111090,2000,1,777570000,2428883.4,"2,014.90",Not Available,"13,906,708.90",Not Available,218.9,291.1,1393.1,1669.4,,"1301 C.B. MOORE
"
3958447,RITTER ANNEX,19122,College/University,153050,2000,1,777540000,5484991.3,-,Not Available,"15,635,274.60",Not Available,200.9,298.4,1065.7,2280.1,,"1301 C.B. MOORE
"
3956649,PNAH,19140,College/University,169976,2000,1,777528500,19360015.6,"31,008.30",Not Available,"68,240,068.80",Not Available,515.5,840.8,8915.9,7124.3,,"3307 N. Broad St.
(40.003462, -75.15246)"
3893235,La Salle #4,19144,College/University,757521,1899,16,776515000,35395371.5,"52,994,072.80",Not Available,Not Available,Not Available,116.7,220.2,19134.1,7553,,"1924 W Olney Ave.
(33.355895, -112.101409)"
3956098,BARTON,19122,College/University,152006,2000,1,777512040,3812657.5,"4,533.80",Not Available,"17,719,951.10",Not Available,210.2,287.6,5696.5,2236.5,,"1900 N. 13TH
(30.434513, -87.203563)"
3958448,MERB,19140,College/University,485000,2000,1,777532000,88316371.8,"4,453.20",Not Available,"12,602,682.30",Not Available,208.1,571.8,4645.5,11712.5,,"3500 N Broad Street
(40.006255, -75.151855)"
3956655,Liacouras Center Forum,19121,College/University,270316,2000,1,777508005,8407676.4,Not Available,Not Available,Not Available,Not Available,65.9,139.5,17292.8,1750.2,,"1776 N. Broad St.
(44.182861, -93.984203)"
3965855,ANDERSON,19122,College/University,207802,2000,1,777568800,13146538.4,"51,155.00",Not Available,"12,230,631.80",Not Available,166.8,314.1,927,3060.8,,"1114 W. POLETT WALK
"
3966438,ECEC,19122,College/University,58020,2000,1,777573005,6997537.7,"13,178.10",Not Available,Not Available,Not Available,155,420.1,57.7,1069.2,,"1710-50 N. 15th Street
"
3966439,TUTTLEMAN LEARNING CENTER,19122,College/University,117253,2000,1,777570200,6598033.5,Not Available,Not Available,"11,240,781.60",Not Available,228.5,368.4,1314.2,2101.7,,"12TH STREET
"
3979390,STUDENT CTR II,19122,College/University,86182,2000,1,777569000,5353933,Not Available,Not Available,"9,397,807.10",Not Available,304.5,459.6,929.2,1946.5,,"13th St., 1800 block
"
3979396,CONWELL HALL,19122,College/University,67644,2000,1,777509000,3389706,"6,463.20",Not Available,"6,528,016.20",Not Available,215.6,342.4,11683.4,1133.1,,"NE CORNER BROAD AND MONTGOMERY
"
3979397,CARNELL HALL,19122,College/University,75931,2000,1,777509000,3804977.1,Not Available,Not Available,"4,718,652.30",Not Available,181.1,301,1018.9,1098.3,,"NE CORNER BROAD AND MONTGOMERY
"
3983811,GLADFELTER,19122,College/University,181566,2000,1,777568800,5168217.8,"4,609.30",Not Available,"23,690,536.20",Not Available,192.4,279.8,3379.9,2585.2,,"1115 W. POLETT WALK
"
3594039,2045 Wheatsheef Lain,19134,Distribution Center,187238,1960,1,884203500,2345368.5,"1,562,561.50",Not Available,Not Available,84,20.9,48.1,452.9,397,,"2045 Wheatsheef Lain
"
3637826,Almo Corporation,19154,Distribution Center,159200,2001,1,884292580,2239184,"2,981,508.20",Not Available,Not Available,89,32.8,63.8,667.4,458.1,,"2709 Commerce Way
(40.110958, -74.978118)"
4319461,Criminal Justice Center (CJC),19107,Courthouse,600000,1994,1,781092450,45488374.6,"16,549,377.80",Not Available,"2,731,434.30",41,107.9,272.5,18028.5,7149.7,,"1301 Filbert Street
(39.678885, -75.103138)"
3830422,"Barsky-Fleming Marketing, Inc.",19124,Distribution Center,104000,1920,2,884202100,389824.4,"612,522.00",Not Available,Not Available,Not Available,9.6,18,165.3,84.7,,"2070-80 Wheatsheaf Lane
"
4092042,"American Metal && Rubber, Inc.",19132,Distribution Center,50000,1900,1,884766800,95664.8,"778,025.10",Not Available,Not Available,68,17.5,22.3,35,54.1,,"2527-37 N Broad St
"
4104348,500 Erie Ave,19134,Distribution Center,130000,1930,1,884048000,1009199,Not Available,Not Available,Not Available,87,7.8,24.4,178.7,135.1,,"500-50 E Erie Ave
"
4136009,ABW Supply,19143,Distribution Center,115000,1910,1,884890600,877800.5,"904,525.70",Not Available,Not Available,92,15.5,32.2,270.6,165.6,,"5601 Paschall Avw
"
4489635,2135 West Moreland Part,19134,Distribution Center,100240,1970,1,884201500,-,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,,"2136 Onterio Street Pump
"
3430362,Gallery I,19107,Enclosed Mall,432762,1977,1,882506502,41995953.7,Not Available,Not Available,Not Available,Not Available,97,304.7,14288.5,5621.8,,"907-37 Market Street
"
3769081,Reading Terminal Market,19106,Enclosed Mall,77452,1892,1,781005760,25431464.8,"12,695,434.10",Not Available,Not Available,Not Available,522.3,1276.5,16826,4078.7,,"12th and Arch Street
"
3959844,Bellevue Associates,19102,Fitness Center/Health Club/Gym,93000,1989,0,883427500,7071240.3,"1,836,428.70",Not Available,Not Available,Not Available,95.8,259.5,7103.8,1044.1,,"220-24 S Broad St
"
1066282,Philadelphia,19104,Hospital (General Medical & Surgical),1691520,1966,21,783531800,112973742.5,"159,115,212.00",-,Not Available,54,198.7,381.1,51883,23574.7,,"University and Woodland Avenues
"
3681741,The Shops at Liberty Place,19103,Enclosed Mall,144660,1990,1,882862100,36241513.4,Not Available,Not Available,Not Available,Not Available,250.5,786.7,10466,4851.5,,"1625 Chestnut St.
(37.801615, -122.429998)"
3957537,Franklin Mills Mall,19154,Enclosed Mall,1540168,1989,1,882693016,149408852.8,"70,948.90",Not Available,Not Available,Not Available,97.1,304.7,24.3,20004.5,,"1455 Franklin Mills Circle
(40.087059, -74.959231)"
4580141,8350 Executive Drive Associates,19153-3877,Food Service,67050,1998,1,884170400,5154952,"2,474,933.70",Not Available,Not Available,Not Available,113.8,280.2,557.3,821.5,,"8350 Executive Avenue
(39.884518, -75.228352)"
2561862,Pennsylvania Hospital,19104,Hospital (General Medical & Surgical),873226,1756,9,771002000,97929756.8,"764,722.50",Not Available,"117,730,325.00",37,247.8,515.3,69205.5,20967.2,,"800 Spruce St
(41.763827, -124.227426)"
3969865,BOYER PAVILION,19140,Hospital (General Medical & Surgical),344000,2000,1,777533001,21692066.4,Not Available,Not Available,"33,313,890.80",93,159.9,314.5,3678.7,5115.8,,"BROAD &amp;&amp; VENANGO
"
3997483,TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK,19140,Hospital (General Medical & Surgical),1043288,2000,1,777014000,136638555.6,"418,754.50",Not Available,"199,356,665.90",2,393.4,782.7,39369.6,31550.4,,"Rock, Park Ave, Parkinson
"
1059528,33737-Philadelphia Airport,19153,Hotel,256162,1995,1,N/A,19505963.9,"17,839,860.30",Not Available,Not Available,21,145.8,312.2,15064.5,3558.7,,"One Arrivals Road
"
3117180,Penn Medicine At Rittenhouse,19146,Hospital (General Medical & Surgical),272165,1980,1,772032010,27037916.3,"563,632.50",Not Available,"14,322,538.80",61,154,377.4,10009.8,4600.4,,"1800 Lombard St
(42.491608, -90.688433)"
2848103,Hospital of the University of Pennsylvania,19104,Hospital (General Medical & Surgical),1788504,1913,9,773009000,248133537.4,"2,189,142.80",Not Available,"311,901,319.80",7,314.4,646.7,143055.6,54042.6,,"3400 Spruce St
(33.695271, -117.384965)"
3890837,Jeanes Hospital,19111,Hospital (General Medical & Surgical),930111,1926,12,778024500,59656534,"15,342,906.50",Not Available,Not Available,Not Available,136,368.9,67559,8800.9,,"7600 Central Avenue
(31.983224, -81.064184)"
3641686,JHN Building,19107,Hospital (General Medical & Surgical),329142,1980,1,771006900,27641304.6,"2,257.20",Not Available,"28,085,268.30",50,290.2,565.4,8974.4,6232.2,,"900 WALNUT STREET
(33.163797, -86.263999)"
3635424,Gibbon Building,19107,Hospital (General Medical & Surgical),722268,1978,1,771013000,86770708.5,"239,878.80",Not Available,"108,299,384.70",12,389.4,656.1,54705,24506.2,,"111 South11th Street
(32.722639, -101.943993)"
3240346,Sheraton Hotel-Philadelphia Society Hill,19106,Hotel,317000,1986,1,883710000,17648290.2,"12,358,563.00",Not Available,Not Available,34,94.7,215.7,11727.3,3018.9,,"One Dock Street
"
3688012,Philadelphia Ronald McDonald House,19104,Hotel,79641,1885,1,773080515,2196782.1,"2,067,202.90",Not Available,Not Available,90,65.4,139.1,1611.1,403.9,,"3921-3925 Chestnut St
"
3161456,Sonesta - Philadelphia,19103,Hotel,414000,1980,1,883700600,12533030.1,"39,960,235.00",Not Available,Not Available,21,184.8,286.3,17147.6,3800.2,,"1800 Market Street
(37.771611, -122.42387)"
3408943,PHI Philadelphia Airport Embassy Suites,19153,Hotel,211000,2006,1,883743500,10882229.4,"8,443,299.60",Not Available,Not Available,46,91.6,204,13742,1905.2,,"9000 Bartram Ave
(39.884409, -75.250782)"
3877095,RAMADA,19116,Hotel,64796,1964,1,883763500,2715164.5,"3,908,162.00",Not Available,Not Available,1,102.2,194.9,10290,571,,"11550-11580 ROOSEVELT BLVD
"
3330734,Dobbins CTE,19132,K-12 School,312395,1938,1,785314800,3838875.3,"26,234,186.80",Not Available,Not Available,74,96.3,126.8,5722.4,1907.3,,"2100-50 W LEHIGH AVE
"
3330725,Loesche,19116,K-12 School,88000,1967,1,786056400,1379973.5,"3,339,657.50",Not Available,Not Available,73,53.6,89.1,1319.2,362.1,,"595 TOMLINSON RD
(36.991122, -78.205586)"
1567464,William Penn Charter School,19144,K-12 School,308325,1925,6,775533000,11290376.2,"16,531,227.10",Not Available,Not Available,62,90.2,171.3,4043.7,2389.4,,"3000 West School House Lane
(40.024419, -75.184944)"
3330749,Franklin ES,19120,K-12 School,76930,1916,1,786458400,2552478.6,"228,860.50","5,531,454.20",Not Available,46,108.1,179.9,821.8,764.3,,"5735 RISING SUN AVE
(40.042331, -75.105204)"
3330775,Sayre,19139,K-12 School,200000,1950,1,783568200,3413583.2,"17,325,802.00",Not Available,Not Available,50,103.7,144.6,2160.6,1377.2,,"5800 WALNUT ST
(37.772451, -122.191155)"
3330748,Finletter,19120,K-12 School,62760,1930,1,785202400,1097708,"92,980.70","6,330,611.90",Not Available,21,119.8,158.4,21.3,621.7,,"6101 N FRONT ST
(38.482207, -85.47778)"
3330769,Pollock,19152,K-12 School,73000,1962,1,786569600,1298914.3,"4,276,221.60",Not Available,Not Available,56,76.4,117.4,1072.9,401,,"2850 WELSH RD
(40.059728, -75.028009)"
3330767,Farrell,19152,K-12 School,66382,1958,1,786066400,1437642.4,"182,461.20","2,381,880.00",Not Available,35,60.3,107.1,86.3,378.9,,"8300 CASTOR AVE
(40.066275, -75.051958)"
3330783,Bryant,19143,K-12 School,94235,1904,1,783087800,1030560.5,"8,485,597.60",Not Available,Not Available,22,101,128.9,694.5,588.7,,"6001 CEDAR AVE
"
3330790,Hamilton,19139,K-12 School,89500,1968,1,783499600,2120277.5,"3,857,915.20",Not Available,Not Available,38,66.8,119.6,425,488.7,,"5640 SPRUCE ST
"
3330791,Harrington,19143,K-12 School,66500,1926,1,783029800,715764.6,"2,709,841.40",Not Available,Not Available,63,51.5,76.6,382.3,239.7,,"5300-34 BALTIMORE AVE
"
3330802,Miller,19104,K-12 School,67200,1967,1,783364400,5100534,"3,134,776.10",Not Available,Not Available,1,122.5,287.3,142.5,849.3,,"4300 WESTMINISTER AVE
"
3330803,Anderson,19143,K-12 School,68235,1963,1,783782600,941410.4,"152,696.50","2,697,758.80",Not Available,60,55.6,85.6,844.3,334.3,,"1034 SOUTH 6OTH ST
"
3330807,Franklin HS,19130,K-12 School,242293,1958,1,782025600,5178392.4,"13,075,489.90",Not Available,Not Available,54,75.3,123.8,4022.6,1387.7,,"550 NORTH BROAD ST
(36.446163, -83.592531)"
3330804,Locke,19104,K-12 School,77000,1965,1,783206951,1922661.3,"164,874.90","4,188,990.00",Not Available,25,81.5,135.6,637.8,577,,"4550 HAVERFORD AVE
(39.96255, -75.213535)"
3330827,GAMP,19145,K-12 School,83460,1914,1,782462200,3295594.8,"8,654,294.10",Not Available,Not Available,12,143.2,232.9,487.3,900.8,,"22ND &amp; RITNER ST
"
3330854,Blaine,19121,K-12 School,88317,1967,1,784035900,1253818.6,"5,331,808.00",Not Available,Not Available,19,74.6,108,926.2,451,,"3001-29 WEST BERKS ST
"
3330855,Cassidy,19151,K-12 School,59123,1924,1,783262200,749765.2,"159,121.50","5,507,856.10",Not Available,20,108.5,136.7,2050.3,517.6,,"6523 LANDSDOWNE AVE
"
3330840,Sharswood,19148,K-12 School,73000,1906,1,781432200,740542.9,"5,643,207.40",Not Available,Not Available,38,87.4,113,462.9,398.9,,"2300 S 2ND ST
(39.052727, -87.56856)"
3330858,Kenderton,19140,K-12 School,91008,1962,1,785657200,1907346.9,"277,549.30","3,548,393.80",Not Available,56,63,108.4,798.4,533.4,,"1500 W ONTARIO ST
(40.004945, -75.15439)"
3330829,Palumbo,19147,K-12 School,185206,1980,1,781043800,2427816.8,"495,420.40","12,654,737.80",Not Available,73,84.1,113,1085.7,1290.4,,"1122 CATHARINE ST
(39.94021, -75.16135)"
3330853,Daroff,19139,K-12 School,85080,1972,1,783541800,2498589.2,"4,579,027.90",Not Available,Not Available,57,83.2,148.7,1502.5,577.7,,"5630 VINE ST
(39.183824, -84.491423)"
3330876,Stetson,19134,K-12 School,140000,1917,1,786010400,4243518,"10,019.40","6,397,265.10",Not Available,13,76.1,141.4,5463,1043.3,,"3200 B ST
"
3330883,Dunbar,19122,K-12 School,53200,1932,1,781641600,883828.4,"99,138.30","3,429,851.90",Not Available,47,82.9,119.2,1646.1,378.1,,"1720-58 N 12 TH ST
"
3330885,Elverson (Military),19122,K-12 School,74557,1930,1,781654210,843787.6,"4,249,101.20",Not Available,Not Available,38,68.3,95.4,288.8,338.6,,"2118-60 N 13TH ST
"
3330905,Marshall T,19120,K-12 School,114000,1997,1,786687225,2759288.5,"2,359,433.00",Not Available,Not Available,86,44.9,97.7,876.7,494.7,,"5118-50 N 6TH ST
"
3330903,Kearny,19123,K-12 School,49000,1922,1,781088800,1422487,"5,750,747.70",Not Available,Not Available,1,146.4,214.4,461.6,495.9,,"601 FAIRMOUNT AVE
(41.671915, -86.190097)"
3330867,Overbrook Education Center,19151,K-12 School,55128,1915,1,783262225,1635493.4,"1,697,410.60",Not Available,Not Available,79,60.5,125.5,213.5,309.1,,"6722 LANSDOWNE AVE
(38.591186, -90.30803)"
3330910,Munoz Marin,19140,K-12 School,119250,1997,1,786636550,4903299.9,"5,162,088.00",Not Available,Not Available,13,84.4,174.6,817.2,930.6,,"3300 N 3RD ST
(30.389069, -88.763862)"
3330892,McKinley,19122,K-12 School,74314,1970,1,786525600,2283644.4,"3,227,752.70",Not Available,Not Available,29,74.2,142.1,2673.7,477.1,,"2101 ORKNEY ST
(39.982781, -75.141737)"
3330879,deBurgos,19133,K-12 School,131500,2002,1,786272100,2960700.2,"4,807,254.50",Not Available,Not Available,67,59.1,109.1,1189.5,651.7,,"401 W LEHIGH AV
(39.991955, -75.138794)"
3330880,Conwell,19134,K-12 School,55600,1926,1,786072800,700178.9,"202,866.60","4,553,309.90",Not Available,77,98.1,126.1,377,442.4,,"1849 E CLEARFIELD AVE
(39.994293, -75.11505)"
3330911,Hunter,19133,K-12 School,98500,2004,1,786154910,4140663.3,"5,274,281.10",Not Available,Not Available,20,95.6,188.2,3260.3,834.4,,"2400-54 N FRONT ST
"
3330934,Steel,19140,K-12 School,85350,1973,1,785508805,2587155.5,"2,461.40","2,146,313.90",Not Available,50,55.5,120.6,1105.8,505.7,,"4301 WAYNE AVE
(40.01844, -75.157694)"
3330941,Kelly John,19144,K-12 School,101976,1970,1,785401600,2140274.6,"4,456,291.90",Not Available,Not Available,73,64.7,111.8,1872.6,523.2,,"5116 PULASKI AVE
(40.024942, -75.171046)"
3330928,Logan,19141,K-12 School,65000,1924,1,785689600,729234.5,"147,163.50","6,184,056.20",Not Available,8,108.6,133.7,882.2,564.3,,"1700 LINDLEY AVE
(40.031317, -75.151823)"
3330924,Henry,19119,K-12 School,65400,1908,1,784048800,1020382.8,"5,191,604.70",Not Available,Not Available,55,95,132.3,523.4,412.3,,"601 CARPENTER LN
(40.046057, -75.196265)"
3330937,Wister,19144,K-12 School,93715,1958,1,785046000,1114634.5,"187,563.00","4,085,628.40",Not Available,83,57.5,83.5,1148.4,462.4,,"67 E BRINGHURST ST
(40.032744, -75.166522)"
3330950,Birney,19141,K-12 School,59200,1913,1,785317200,1695720,"6,784,026.40",Not Available,Not Available,28,143.2,210.3,1050.3,587.3,,"900 WEST LINDLEY AVE
"
3330966,Prince Hall,19141,K-12 School,79000,1973,1,785259000,2697972.1,"148,776.30","2,824,583.80",Not Available,26,71.8,145.3,1144.1,578.7,,"6101-6167 N GRATZ
"
3330977,LaBrum,19154,K-12 School,44500,1974,1,786442000,2829760.6,"120,445.40",Not Available,Not Available,29,66.3,202.5,648.3,385.2,,"10800 HAWLEY ST
"
3330981,Comly,19116,K-12 School,35045,1928,1,786057000,1160083.8,"5,295,980.70",Not Available,Not Available,6,184.2,262.6,933.1,436.6,,"1001 BYBERRY RD
(40.120158, -75.009583)"
3330960,Lowell,19120,K-12 School,58200,1914,1,785548000,2836085.4,"5,108,484.20",Not Available,Not Available,11,136.5,245.2,1493.9,651,,"450 W NEDRO AVE
(40.040986, -75.128865)"
3337457,Blankenburg,19131,K-12 School,64000,1925,1,783175200,970252.4,"7,131,395.50",Not Available,Not Available,18,126.6,164.6,760.9,508.7,,"4612-72 W GIRARD AVE
"
3408313,Fels HS,19111,K-12 School,249787,2009,1,786264650,13188717.5,"12,851,202.30",Not Available,Not Available,12,104.2,219.8,3552.7,2448.1,,"1001 DEVEREUX AVE
"
3333128,Patterson,19142,K-12 School,72876,1921,1,783072600,550512.2,"234,787.10","5,507,027.90",Not Available,65,86.3,103.4,581.2,494.8,,"7001 BUIST AVE
(39.915826, -75.236335)"
3330982,Fitzpatrick,19154,K-12 School,94466,1959,1,786249100,2278659.2,949.2,"3,927,618.10",Not Available,21,72.6,130,1138.4,596.5,,"11061 KNIGHTS RD
(40.081287, -74.976307)"
3337456,Adaire,19125,K-12 School,49890,1957,1,781352000,899739.6,"3,757,571.40",Not Available,Not Available,50,93.4,135.7,482.1,320,,"1300 E PALMER ST
(33.89836, -118.209094)"
3498628,McDaniel,19145,K-12 School,61000,1937,1,782791400,2497976,"5,355,641.20",Not Available,Not Available,2,128.7,220.8,364.6,618.9,,"2100 Moore St
(40.445689, -86.874377)"
3404349,Roosevelt MS,19144,K-12 School,135315,1924,1,784471600,1735538,"321,757.80","8,233,769.80",Not Available,14,76.1,104.2,1887.2,860.4,,"430 E WASHINGTON LANE
(40.048423, -75.175562)"
3337468,Clemente,19140,K-12 School,232815,1994,1,786125000,5590196.9,"4,592,513.00",Not Available,Not Available,68,43.7,96.1,1407.9,992.3,,"122 W ERIE AVE
(32.656227, -79.941855)"
3599558,Boone,19121,K-12 School,56265,1963,1,782813600,1250807.1,"2,973,310.20",Not Available,Not Available,36,75.1,125.3,303.8,325.4,,"W Jefferson St
"
3657578,Imani Education Charter School,19144,K-12 School,61592,1927,7,775095805,2096802.6,"922,569.30",Not Available,Not Available,Not Available,49,122.6,1533.6,329.7,,"5612 Green St
"
3736431,St. Raymond of Penafort,19150,K-12 School,61900,1950,2,775329000,477840.7,Not Available,Not Available,Not Available,100,7.7,24.2,854,64,,"1350 E Vernon Road
(35.628534, -112.112021)"
3687689,First Philadelphia Charter School,19124,K-12 School,78150,2002,1,778531800,3128565.2,"4,242,920.10",Not Available,Not Available,70,94.3,182.7,683,644.2,,"4300 Tacony St.
(40.006863, -75.082354)"
3695833,Father Judge High School,19136,K-12 School,153961,1954,3,778508000,2664635.5,"2,091,988.90","3,809,214.10",Not Available,93,55.6,93.6,1233.7,750.5,,"3301 Solly Avenue
(40.048471, -75.024074)"
3773891,Esperanza Academy,19140,K-12 School,71440,1930,1,777577905,5108221.2,"1,827,849.20",Not Available,Not Available,13,97.1,251.4,485.6,780.9,,"301 W Hunting Park Ave
(40.014674, -75.132323)"
3782240,Mast Charter School,19116,K-12 School,169148,2001,2,778500305,8769536,"1,712,461.70",Not Available,Not Available,41,72.8,203.7,849.1,1264.9,,"1800 Byberry Rd
(40.109988, -74.927141)"
3891486,Friends Select School,19103,K-12 School,123306,1969,1,772199000,4583830.9,"6,525,402.10",Not Available,Not Available,39,90.1,172.3,1038.1,960.2,,"17th and The Benjamin Franklin Parkway
"
3892939,Philadelphia Academy High School,19116,K-12 School,85000,1950,1,778299100,2594211.8,"2,891,810.60",Not Available,Not Available,36,64.5,131.6,432.2,500.9,,"1700 Tomlinson Road
(29.676777, -96.15666)"
4123955,Brown HA,19125,K-12 School,67795,1959,1,786491000,1249091.2,"2,302,630.90",Not Available,Not Available,57,52.4,93.5,1003.8,289.5,,"1900 E SERGEANT ST
(39.987141, -75.127566)"
3892825,401 East Roosevelt Blvd,19120,K-12 School,73983,1950,1,776251000,525012.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,"401 East Roosevelt Blvd
(34.978991, -80.523317)"
4123946,Bodine,19123,K-12 School,59000,1935,1,781462800,922866.8,"5,204,578.90",Not Available,Not Available,39,103.9,141.7,637,400,,"1101 NORTH 4TH ST
(33.636248, -91.404216)"
3977128,Nazareth Grade School and High School,19114,K-12 School,75000,1932,1,778501500,1829084.1,Not Available,Not Available,Not Available,97,24.4,76.6,Not Available,244.9,,"4001 Grand Ave
(37.818996, -122.244636)"
3680639,Active Radiator,19134,Manufacturing/Industrial Plant,62000,1947,1,884839110,2507371.7,"5,805,031.30",Not Available,Not Available,Not Available,127.9,214.9,504.3,644,,"2251-71 E Tioga Street
"
3975948,"fmi direct mail advertising, inc",19116,Mailing Center/Post Office,60000,2000,1,884233850,1638925.5,"1,807,154.70",Not Available,Not Available,Not Available,57.4,117.4,232.6,315.4,,"2100 Kubach Road
(40.115409, -74.998735)"
3697969,401-425 E Hunting Park Ave,19124,Manufacturing/Industrial Plant,112000,1978,1,884184000,4991605.9,"5,395,308.40",Not Available,Not Available,Not Available,92.7,190.5,1431.2,954.8,,"401-425 E Hunting Park Ave
"
3862942,"KRG Enterprises, Inc.",19114,Manufacturing/Industrial Plant,216000,1965,1,884274000,4737944.1,"5,101,779.80",Not Available,Not Available,Not Available,45.6,93.7,357.6,905.2,,"9901 Blue Grass Road
(40.082774, -75.021595)"
3641728,Medical Office Building,19107,Medical Office,82972,1985,1,771020500,8988159.9,"1,131,883.20",Not Available,"191,040.00",14,124.3,357.2,8727.5,1276,,"1100-04 Walnut Street
"
3856432,Walnut Towers,19106,Medical Office,401018,1987,1,883400500,31800761.2,Not Available,Not Available,"7,144,114.40",9,169.4,471.7,16044.2,4731.4,,"834 Walnut St
(36.616196, -121.928935)"
3979549,Churchville,19124,Manufacturing/Industrial Plant,73918,1919,1,884344940,629152.7,"1,425,709.60",Not Available,Not Available,Not Available,27.8,47,826.9,159.9,,"1299 Unity Street
(40.015562, -75.092715)"
3980474,Masonic Temple,19107,Museum,195058,1868,1,771032200,6594665.8,"9,210,814.80",Not Available,Not Available,Not Available,81,155.7,1618.6,1372,,"One N.Broad Street
"
4035747,"834 Chestnut Street, Philadelphia",19107,Multifamily Housing,478920,1925,1,888054315,29867518.6,"14,137,691.40",Not Available,Not Available,20,91.9,226.8,22359.4,4749.2,,"834 Chestnut Street, Philadelphia, PA 19107
(34.014072, -86.013176)"
3960078,The Chatham,19103,Multifamily Housing,85328,1927,1,881026300,2318645.1,Not Available,Not Available,Not Available,95,27.2,85.3,4.5,310.4,,"135 S. 20th Street
(45.857437, -122.817507)"
