TCAD or WCAD Property ID(s),Floor Area (sqft),Building Type,Reported Portfolio Manager Energy Star Score,Reported Portfolio Manager Site kBTU/sqft,As of,Address
251473,53614,Other,,49.4,03/13/2014 12:00:00 AM,"8712 SHOAL CREEK BLVD
AUSTIN, TX 78736
(30.373712515000477, -97.73649898999969)"
212466,84100,Medical Office,40,113.7,03/13/2014 12:00:00 AM,"901 W 38TH ST
AUSTIN, TX 78705
(30.30482488600046, -97.74238195299966)"
188631,60698,Hotel,40.3,62.7,03/13/2014 12:00:00 AM,"507 S 1ST ST
AUSTIN, TX 78704
(30.257395205000478, -97.75061478299966)"
797143,255483,Hospital (General Medical and Surgical),,,03/13/2014 12:00:00 AM,"7901 METROPOLIS DR
AUSTIN, TX 78744
(30.207663032000482, -97.69070616399966)"
292085,143383,Office,60.4,82.1,03/13/2014 12:00:00 AM,"2400 GROVE BLVD
AUSTIN, TX 78741
(30.221488645000477, -97.70763966799967)"
256595,69136,Office,64,65.6,03/13/2014 12:00:00 AM,"2201 DONLEY DR
AUSTIN, TX 78758
(30.38877465100046, -97.7137121349997)"
460897,200000,Office,91,56.3,03/13/2014 12:00:00 AM,"9600 N MOPAC EXPY
AUSTIN, TX 78759
(30.385548320000453, -97.73604062399966)"
194374,56000,Office,,,03/13/2014 12:00:00 AM,"124 W 8TH ST
AUSTIN, TX 78701
(30.270227098000476, -97.74312339299968)"
242164,33000,Other,,86.9,03/13/2014 12:00:00 AM,"9601 DESSAU RD
AUSTIN, TX 78754
(30.35345764200048, -97.67422894299966)"
424200,72632,Hotel,23.7,70.9,03/13/2014 12:00:00 AM,"12424 N US 183 HWY
AUSTIN, TX 78759
(30.40125117700046, -97.75332664499967)"
548002,15098,Finanacial Office,51,109.7,03/13/2014 12:00:00 AM,"2608 BROCKTON DR
AUSTIN, TX 78758
(30.39289639600048, -97.72035075099967)"
235504,44800,Warehouse (Unrefrigerated),,18.2,03/13/2014 12:00:00 AM,"8801 WALL ST
AUSTIN, TX 78754
(30.340933980000443, -97.67112550499968)"
235473,98499,Office,92,31.3,03/13/2014 12:00:00 AM,"8100 CAMERON RD AUSTIN
AUSTIN, TX 78754
(30.33665707700044, -97.68380579399968)"
487189,60280,Clinic/Other Outpatient Health,,145.8,03/13/2014 12:00:00 AM,"900 W 38TH ST
AUSTIN, TX 78705
(30.304646040000478, -97.74186910399965)"
437618,207048,Office,73.3,76,03/13/2014 12:00:00 AM,"1501 S MOPAC EXPY
AUSTIN, TX 78746
(30.26169579600048, -97.79026644699968)"
503608,73815,Hotel,26.2,74.3,03/13/2014 12:00:00 AM,"12510 N IH 35
AUSTIN, TX 78753
(30.371744244000467, -97.6805695279997)"
192781,454764,Office,80.9,64.4,03/13/2014 12:00:00 AM,"100 CONGRESS AVE
AUSTIN, TX 78701
(30.26395091200044, -97.7443303069997)"
308743,85895,K-12 School,60.4,59,03/13/2014 12:00:00 AM,"6101 PATTON RANCH RD
AUSTIN, TX 78735
(30.237681892000467, -97.85945017799969)"
377936,117828,Office,,43.6,03/13/2014 12:00:00 AM,"4515 SETON CENTER PKWY
AUSTIN, TX 78759
(30.40086392000046, -97.74247196799968)"
464122,89450,Hotel,65.1,69.2,03/13/2014 12:00:00 AM,"7809 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.219155358000478, -97.68840722499965)"
187773,53680,Office,93.8,30.9,03/13/2014 12:00:00 AM,"611 S CONGRESS AVE
AUSTIN, TX 78704
(30.25547053900044, -97.74747136099967)"
225563,56081,Office,,,03/13/2014 12:00:00 AM,"6225 E US 290 HWY
AUSTIN, TX 78723
(30.307581548000485, -97.68754760699966)"
214782,250000,K-12 School,78.6,53.7,03/13/2014 12:00:00 AM,"3901 SPEEDWAY
AUSTIN, TX 78751
(30.302484493000463, -97.73230499699969)"
106108,60000,Office,32,82.7,03/13/2014 12:00:00 AM,"1515 S CAPITAL OF TX HWY
AUSTIN, TX 78746
(30.273220101000447, -97.81740837699965)"
239422,89445,House of Worship,82.9,31.6,03/13/2014 12:00:00 AM,"1500 W ANDERSON LA
AUSTIN, TX 78757
(30.351665916000456, -97.72143922299966)"
194327,440900,Office,90.1,42,03/13/2014 12:00:00 AM,"221 W 6TH ST
AUSTIN, TX 78701
(30.26857366200045, -97.74469865799966)"
247067,56636,Warehouse (Unrefrigerated),76.5,16.1,03/13/2014 12:00:00 AM,"8910 RESEARCH BLVD
AUSTIN, TX 78758
(30.370127307000473, -97.72097611899966)"
503131,15192,K-12 School,74,52.6,03/13/2014 12:00:00 AM,"11908 N LAMAR BLVD
AUSTIN, TX 78753
(30.39060219500044, -97.68244964499968)"
142136,79414,Office,74,66.8,03/13/2014 12:00:00 AM,"8601 FM 2222 RD
AUSTIN, TX 78730
(30.382371218000458, -97.81348261699969)"
345422,38423,Senior Care Facility,26.3,121,03/13/2014 12:00:00 AM,"3200 W SLAUGHTER LA
AUSTIN, TX 78748
(30.180105375000437, -97.8425083839997)"
424196,66373,Office,62.9,101.9,03/13/2014 12:00:00 AM,"12309 RIATA TRACE PKWY
AUSTIN, TX 78727
(30.428423945000475, -97.7465060669997)"
R401739,76276,Retail,,,03/13/2014 12:00:00 AM,"9222 PARMER LN
AUSTIN, TX 78717
(30.47793344900049, -97.76527185199967)"
R055146,165220,Retail,44.5,84.2,03/13/2014 12:00:00 AM,"13729 RESEARCH BLVD
AUSTIN, TX 78750
(30.458675548000485, -97.79241691399966)"
250446,18750,Non-Refrigerated Warehouse,,,03/13/2014 12:00:00 AM,"808 KEN ST
AUSTIN, TX 78758
(30.37067568900045, -97.6940071139997)"
285901,50950,Hotel,31.6,88,03/13/2014 12:00:00 AM,"1603 E OLTORF ST
AUSTIN, TX 78741
(30.233473685000433, -97.7400166869997)"
255083,76500,Warehouse (Refrigerated),87.5,46.4,03/13/2014 12:00:00 AM,"2000 CENTIMETER CIR
AUSTIN, TX 78758
(30.38115534500048, -97.71338286999969)"
254009,19600,Non-Refrigerated Warehouse,,,03/13/2014 12:00:00 AM,"3007 LONGHORN BLVD
AUSTIN, TX 78758
(30.381905075000475, -97.7287932219997)"
511560,81880,Supermarket/Grocery Store,53.5,275.8,03/13/2014 12:00:00 AM,"6900 BRODIE LA
AUSTIN, TX 78745
(30.214315861000443, -97.8301467019997)"
251474,18200,Warehouse (Unrefrigerated),82,17.1,03/13/2014 12:00:00 AM,"8810 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.374996415000453, -97.7354507879997)"
310847,64501,College/University (Campus-Level),,57.7,03/13/2014 12:00:00 AM,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.232324808000442, -97.75854559099969)"
213273,156450,Retail Store,99,10.8,03/13/2014 12:00:00 AM,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298033272000453, -97.71885139799969)"
212200,63717,Office,61.2,60.6,03/13/2014 12:00:00 AM,"5101 E 51ST ST
AUSTIN, TX 78723
(30.29350429900046, -97.67305017099966)"
460018,78948,Warehouse (Refrigerated),100,5.8,03/13/2014 12:00:00 AM,"1130 RUTHERFORD LA
AUSTIN, TX 78754
(30.35125319900044, -97.65755837899968)"
426310,45300,Warehouse (Unrefrigerated),68.6,15.5,03/13/2014 12:00:00 AM,"1100 KRAMER LN
AUSTIN, TX 78758
(30.38163621500047, -97.69192847499966)"
214211,96080,Other,,29.6,03/13/2014 12:00:00 AM,"7311 FM 3177 RD
AUSTIN, TX 78724
(30.276792831000478, -97.63727979699968)"
176237,13435,Other,,133.5,03/13/2014 12:00:00 AM,"13376 N US 183 HWY
AUSTIN, TX 78750
(30.43159235000047, -97.80135633599969)"
192833,546000,Office,89.4,63.4,03/13/2014 12:00:00 AM,"401 CONGRESS AVE
AUSTIN, TX 78701
(30.26637066000046, -97.74339106999969)"
235467,223720,Office,98.6,17.9,03/13/2014 12:00:00 AM,"1520 RUTHERFORD LA
AUSTIN, TX 78754
(30.336625098000468, -97.68177453199968)"
163295,150000,Office,71.5,75.9,03/13/2014 12:00:00 AM,"12007 RESEARCH BLVD
AUSTIN, TX 78759
(30.425586100000487, -97.75109920799969)"
461124,74633,Hotel,62.9,60,03/13/2014 12:00:00 AM,"12536 N IH 35
AUSTIN, TX 78753
(30.371744244000467, -97.6805695279997)"
134340,193294,Office,,,03/13/2014 12:00:00 AM,"5918 W COURTYARD DR
AUSTIN, TX 78730
(30.354648258000452, -97.79722129999965)"
782195,925758,Hospital (General Medical and Surgical),81.2,163.3,03/13/2014 12:00:00 AM,"601 E 15TH ST
AUSTIN, TX 78701
(30.275163717000453, -97.73335793599966)"
509243,30224,Retail,81.5,53.1,03/13/2014 12:00:00 AM,"2428 W BEN WHITE BLVD
AUSTIN, TX 78704
(30.233245094000438, -97.79403760699967)"
282729,17200,Worship Facility,,,03/13/2014 12:00:00 AM,"300 E MONROE ST
AUSTIN, TX 78704
(30.247107423000443, -97.74756137599968)"
464213,53943,"Service (Vehicle Repair/Service, Postal Service)",,22.5,03/13/2014 12:00:00 AM,"3505 MONTOPOLIS DR
AUSTIN, TX 78744
(30.20794373700045, -97.71495458099969)"
246090,154995,K-12 School,59.5,58.4,03/13/2014 12:00:00 AM,"8401 HATHAWAY DRIVE
AUSTIN, TX 78757
(30.363915078000446, -97.72649902099965)"
310476,49796,Retail,62.5,42.2,03/13/2014 12:00:00 AM,"4107 S CAPITAL OF TX HWY
AUSTIN, TX 78704
(30.239774680000437, -97.79970102199968)"
548255,189983,Office,79.5,76.7,03/13/2014 12:00:00 AM,"2309 GRACY FARMS LA
AUSTIN, TX 78758
(30.403097716000445, -97.70954656699968)"
194514,90000,Other,,46.9,03/13/2014 12:00:00 AM,"301 E 8TH ST
AUSTIN, TX 78701
(30.26908414300044, -97.73922787099968)"
767985,151318,Office,65.4,65.5,03/13/2014 12:00:00 AM,"8310 N CAPITAL OF TX HWY
AUSTIN, TX 78731
(30.38422533400046, -97.7684934459997)"
102904,59369,Office,74.4,64.5,03/13/2014 12:00:00 AM,"1801 S MOPAC EXPRESSWAY
AUSTIN, TX 78746
(30.259954714000457, -97.79365859599966)"
254013,42224,Non-Refrigerated Warehouse,,,03/13/2014 12:00:00 AM,"2929 LONGHORN BLVD
AUSTIN, TX 78758
(30.381274970000447, -97.72751287599965)"
509332,109540,Office,,,03/13/2014 12:00:00 AM,"4400 WEST GATE BLVD
AUSTIN, TX 78745
(30.23491629600045, -97.80019653699969)"
255880,48000,Non-Refrigerated Warehouse,,,03/13/2014 12:00:00 AM,"3203 LONGHORN BLVD
AUSTIN, TX 78758
(30.382544657000437, -97.73011265499969)"
478299,76342,K-12 School,79,44.3,03/13/2014 12:00:00 AM,"5214 DUVAL RD
AUSTIN, TX 78727
(30.417436178000457, -97.74189871399966)"
455135,222567,Office,77.4,67.5,03/13/2014 12:00:00 AM,"1301 S MOPAC EXPY
AUSTIN, TX 78746
(30.262755843000434, -97.7883856039997)"
197425,192552,K-12 School,37.4,62.5,03/13/2014 12:00:00 AM,"1607 PENNSYLVANIA AVE
AUSTIN, TX 78702
(30.271303727000486, -97.72195562599967)"
231153,36286,Supermarket/Grocery Store,58.5,245.9,03/13/2014 12:00:00 AM,"5808 BURNET RD
AUSTIN, TX 78756
(30.334165080000446, -97.73995154399967)"
271352,47000,Recreation,,,03/13/2014 12:00:00 AM,"5807 MCNEIL DR
AUSTIN, TX 78729
(30.44652409300045, -97.73359244999966)"
445922,30377,Warehouse (Refrigerated),,,03/13/2014 12:00:00 AM,"7615 METRO CENTER DR
AUSTIN, TX 78744
(30.215976403000468, -97.6918254309997)"
191042,69142,K-12 School,78,40.2,03/13/2014 12:00:00 AM,"310 ROBERT T. MARTIN JR. ST
AUSTIN, TX 78702
(30.264761519000444, -97.71687639399966)"
297836,81173,K-12 School,81.5,41,03/13/2014 12:00:00 AM,"7601 DIXIE DR
AUSTIN, TX 78744
(30.16486439200048, -97.74450915299968)"
497361,39180,Office,73.7,56.7,03/13/2014 12:00:00 AM,"9009 MOUNTAIN RIDGE DR
AUSTIN, TX 78759
(30.387072654000463, -97.75354619699965)"
442652,119480,Warehouse (Unrefrigerated),28,16.5,03/13/2014 12:00:00 AM,"8700 CAMERON RD
AUSTIN, TX 78754
(30.344474180000475, -97.67809812399969)"
113035,149093,K-12 School,82.2,42.2,03/13/2014 12:00:00 AM,"2610 10TH ST
AUSTIN, TX 78703
(30.28507604100048, -97.7743882529997)"
500595,102240,Warehouse (Unrefrigerated),13.2,109.8,03/13/2014 12:00:00 AM,"8410 TUSCANY WAY
AUSTIN, TX 78754
(30.33087834300045, -97.6596627889997)"
153585,60414,Office,90.6,32.8,03/13/2014 12:00:00 AM,"9020 N CAPITAL OF TX HWY
AUSTIN, TX 78759
(30.388247589000457, -97.75668014499968)"
121665,414640,Water Treatment,,,03/13/2014 12:00:00 AM,"3500 W 35TH ST
AUSTIN, TX 78705
(30.31388325000046, -97.77056734699966)"
310847,50222,College/University (Campus-Level),,85.1,03/13/2014 12:00:00 AM,"300 WOODWARD ST
AUSTIN, TX 78704
(30.227975656000467, -97.7565984209997)"
291863,50500,Warehouse (Unrefrigerated),96.1,3.9,03/13/2014 12:00:00 AM,"5016 E BEN WHITE BLVD
AUSTIN, TX 78741
(30.21440824400048, -97.72640663699968)"
255878,56000,Non-Refrigerated Warehouse,,,03/13/2014 12:00:00 AM,"3206 INDUSTRIAL TER
AUSTIN, TX 78758
(30.381245360000435, -97.73214865399967)"
464213,93182,Office,61,67.9,03/13/2014 12:00:00 AM,"3505 MONTOPOLIS DR
AUSTIN, TX 78744
(30.20794373700045, -97.71495458099969)"
230249,69120,Medical Office,50,107.7,03/13/2014 12:00:00 AM,"6937 N IH 35
AUSTIN, TX 78752
(30.332252490000485, -97.70383703299967)"
542730,87911,SuperMarket/Grocery Store,54,255.4,03/13/2014 12:00:00 AM,"7301 N FM 620 RD
AUSTIN, TX 78681
(30.51279181300049, -97.71135823799966)"
117669,88000,Warehouse (Unrefrigerated),93,11.9,03/13/2014 12:00:00 AM,"6726 BEE CAVES RD
AUSTIN, TX 78746
(30.299067471000455, -97.83754570799965)"
R487441,114726,Office,,28.1,03/13/2014 12:00:00 AM,"11001 LAKELINE BLVD
AUSTIN, TX 78729
(30.480284502000472, -97.79457177599966)"
502392,30825,Office,81.8,45.6,03/13/2014 12:00:00 AM,"1901 W BRAKER LA
AUSTIN, TX 78758
(30.39139456500044, -97.7063119449997)"
231476,138500,Office,74,64.9,03/13/2014 12:00:00 AM,"505 E HUNTLAND DR
AUSTIN, TX 78752
(30.331024026000478, -97.7082188439997)"
251443,120960,Office,,40.8,03/13/2014 12:00:00 AM,"8701 N MOPAC EXPY
AUSTIN, TX 78759
(30.37494667000044, -97.73939250299969)"
522984,90000,Office,100,21.5,03/13/2014 12:00:00 AM,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.391518928000437, -97.84769491299966)"
455195,155976,Office,79.9,61.1,03/13/2014 12:00:00 AM,"911 LAS CIMAS PKWY
AUSTIN, TX 78746
(30.288797455000463, -97.8313287419997)"
310848,38286,College/University (Campus-Level),,34.1,03/13/2014 12:00:00 AM,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.232324808000442, -97.75854559099969)"
429811,30024,Retail,79.9,40.2,03/13/2014 12:00:00 AM,"5300 S MOPAC EXPY
AUSTIN, TX 78735
(30.23331497400045, -97.82665743099966)"
R379614,92160,College/University (Campus-Level),,62.7,03/13/2014 12:00:00 AM,"7700 PARMER LN
AUSTIN, TX 78729
(30.45811235600047, -97.75346210399965)"
104410,164303,Office,87.4,53.4,03/13/2014 12:00:00 AM,"1221 S MOPAC EXPY
AUSTIN, TX 78746
(30.263786279000442, -97.78663623099965)"
213273,93006,Supermarket/Grocery Store,75.5,229.8,03/13/2014 12:00:00 AM,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298033272000453, -97.71885139799969)"
530263,110000,Retail,36.6,82.4,03/13/2014 12:00:00 AM,"3600 S IH 35
AUSTIN, TX 78704
(30.242780136000476, -97.76555783599969)"
253978,54295,Warehouse (Unrefrigerated),34.3,32.8,03/13/2014 12:00:00 AM,"9218 RESEARCH BLVD
AUSTIN, TX 78758
(30.377285878000464, -97.73534419199967)"
725795,125342,Office,85.9,63.5,03/13/2014 12:00:00 AM,"1703 W 5TH ST
AUSTIN, TX 78702
(30.261657494000474, -97.72555661899969)"
155453,40808,Office,85.5,45,03/13/2014 12:00:00 AM,"10415 MORADO CIR
AUSTIN, TX 78759
(30.40071823700049, -97.74946116899969)"
228995,87900,Office,,,03/13/2014 12:00:00 AM,"6300 LA CALMA DR
AUSTIN, TX 78752
(30.324316714000474, -97.7026260619997)"
101422,144129,Retail,70.4,49.6,03/13/2014 12:00:00 AM,"3045 S CAPITAL OF TX HWY
AUSTIN, TX 78746
(30.254443508000463, -97.80927802299965)"
812919,180268,Office,76,167.8,03/13/2014 12:00:00 AM,"2900 ESPERANZA CROSSING
AUSTIN, TX 78758
(30.398567349000473, -97.72007241499966)"
255881,54000,Non-Refrigerated Warehouse,,,03/13/2014 12:00:00 AM,"3201 LONGHORN BLVD
AUSTIN, TX 78758
(30.382965122000485, -97.73097371999967)"
214223,138143,K-12 School,72.6,30.7,03/13/2014 12:00:00 AM,"8104 DECKER LANE
AUSTIN, TX 78724
(30.307156988000486, -97.61773587499965)"
153531,159712,Office,16,146.3,03/13/2014 12:00:00 AM,"9500 ARBORETUM BLVD
AUSTIN, TX 78759
(30.39112451900047, -97.75231204199969)"
377939,103313,Retail,100,4.5,03/13/2014 12:00:00 AM,"4501 WEST BRAKER LA
AUSTIN, TX 78759
(30.400193544000444, -97.74356043999967)"
133196,71677,Office,55.3,71.7,03/13/2014 12:00:00 AM,"6836 AUSTIN CENTER BLVD
AUSTIN, TX 78731
(30.35148114700047, -97.75143084199965)"
135841,72809,K-12 School,70.9,54.7,03/13/2014 12:00:00 AM,"3700 NORTH HILLS DR
AUSTIN, TX 78731
(30.35336554200046, -97.75870785399968)"
542723,94876,Office,100,13.5,03/13/2014 12:00:00 AM,"11305 FOUR POINTS DR
AUSTIN, TX 78734
(30.404541548000452, -97.84795625999965)"
R066562,74544,Warehouse (Unrefrigerated),,,03/13/2014 12:00:00 AM,"12300 TECHNOLOGY BLVD
AUSTIN, TX 78727
(30.434507073000475, -97.76007110999967)"
187759,41000,Other,,133.2,03/13/2014 12:00:00 AM,"7201 LEVANDER LOOP
AUSTIN, TX 78702
(30.25130497100048, -97.69174962799968)"
235504,44800,Warehouse (Unrefrigerated),,11.2,03/13/2014 12:00:00 AM,"8619 WALL ST
AUSTIN, TX 78754
(30.339968686000475, -97.67190129299968)"
292207,18470,Other,,22208.2,03/13/2014 12:00:00 AM,"2210 S FM 973
AUSTIN, TX 78725
(30.216196703000435, -97.6377263389997)"
196431,12130,"Service (Vehicle Repair/Service, Postal Service)",,63.1,03/13/2014 12:00:00 AM,"6301 HAROLD CT, BLDG H
AUSTIN, TX 78721
(30.267255414000488, -97.67178403699967)"
221927,57994,Office,74,52.8,03/13/2014 12:00:00 AM,"5555 AIRPORT BLVD
AUSTIN, TX 78751
(30.31786760400047, -97.71321231399969)"
235484,51200,Warehouse (Unrefrigerated),,,03/13/2014 12:00:00 AM,"8606 WALL ST
AUSTIN, TX 78754
(30.338714397000444, -97.67392663399966)"
192709,256791,K-12 School,33.9,62,03/13/2014 12:00:00 AM,"1112 ARTHUR STILES RD
AUSTIN, TX 78721
(30.258587906000457, -97.67984512799967)"
266434,55915,Supermarket/Grocery Store,72,213.1,03/13/2014 12:00:00 AM,"12411 N MOPAC EXPY
AUSTIN, TX 78718
(30.417997589000436, -97.7044926909997)"
375835,51340,Hotel,39.3,84.8,03/13/2014 12:00:00 AM,"11901 PAVILION BLVD
AUSTIN, TX 78759
(30.42518577000044, -97.75471639399967)"
225501,81981,Hotel,44.5,59.7,03/13/2014 12:00:00 AM,"5660 N IH 35
AUSTIN, TX 78751
(30.31036235200048, -97.72429766299967)"
548327,59291,Hotel,32.8,71,03/13/2014 12:00:00 AM,"2700 GRACY FARMS LA
AUSTIN, TX 78758
(30.406620150000435, -97.71304886599967)"
377798,337864,Warehouse (Unrefrigerated),61,40.4,03/13/2014 12:00:00 AM,"9500 METRIC BLVD
AUSTIN, TX 78758
(30.376209250000443, -97.71767398499969)"
777264,150000,Office,66,72,03/13/2014 12:00:00 AM,"7600 METROPOLIS DR
AUSTIN, TX 78744
(30.20695830800048, -97.69598981499968)"
365784,459100,Office,42.8,91.6,03/13/2014 12:00:00 AM,"1300 S MOPAC EXPY
AUSTIN, TX 78746
(30.26142456600047, -97.79341579199968)"
255500,17000,Retail Store,,,03/13/2014 12:00:00 AM,"11104 N LAMAR BLVD
AUSTIN, TX 78753
(30.38038547800045, -97.6872867729997)"
484993,62703,Supermarket/Grocery,85,222.9,03/13/2014 12:00:00 AM,"5510 S IH 35
AUSTIN, TX 78744
(30.188402392000455, -97.7461486959997)"
126012,35502,Office,78,46,03/13/2014 12:00:00 AM,"3301 FM 2222 DR
AUSTIN, TX 78731
(30.337400164000485, -97.75706851399968)"
192779,121300,Office,56,169,03/13/2014 12:00:00 AM,"301 W 2ND ST
AUSTIN, TX 78701
(30.26508439200046, -97.74694785199966)"
319249,41250,Office,88.1,45.1,03/13/2014 12:00:00 AM,"4411 MEINARDUS DR
AUSTIN, TX 78744
(30.210352826000474, -97.75277633099967)"
458103,134140,Office,36.6,116.1,03/13/2014 12:00:00 AM,"12401 RESEARCH BLVD
AUSTIN, TX 78759
(30.42888586500044, -97.75776861799966)"
155476,65631,Supermarket/Grocery Store,70.5,229.9,03/13/2014 12:00:00 AM,"10710 RESEARCH BLVD
AUSTIN, TX 78759
(30.397992911000472, -97.74661266399966)"
513090,10690,Self-Storage,,6.2,03/13/2014 12:00:00 AM,"10025 MANCHACA RD
AUSTIN, TX 78748
(30.17084921400044, -97.8247422399997)"
248506,251909,Office,87.9,70.2,03/13/2014 12:00:00 AM,"8303 N MOPAC EXPY
AUSTIN, TX 78749
(30.369210574000476, -97.7415611569997)"
283151,164602,K-12 School,41,58.8,03/13/2014 12:00:00 AM,"201 E MARY ST
AUSTIN, TX 78642
(30.244763477000447, -97.7500178409997)"
496415,43713,Office,35.6,98.6,03/13/2014 12:00:00 AM,"7501 N CAPITAL OF TX HWY
AUSTIN, TX 78731
(30.37512788400045, -97.78133244499969)"
203731,37317,Residence Hall/Dormitory,61.8,54.3,03/13/2014 12:00:00 AM,"1910 PEARL ST
AUSTIN, TX 78705
(30.284083506000457, -97.74666240899967)"
194272,47572,Hotel,69.7,44,03/13/2014 12:00:00 AM,"600 GUADALUPE ST
AUSTIN, TX 78701
(30.269431175000477, -97.74618982899966)"
104320,496645,Other,,67.7,03/13/2014 12:00:00 AM,"2901 S CAPITAL OF TX HWY
AUSTIN, TX 78746
(30.256282416000488, -97.81072379499966)"
286583,280882,K-12 School,6.9,118.8,03/13/2014 12:00:00 AM,"1211 E OLTORF ST
AUSTIN, TX 78732
(30.23492577200045, -97.74427463899968)"
211835,92000,Warehouse (Unrefrigerated),91.5,14.9,03/13/2014 12:00:00 AM,"1033 E 41ST ST
AUSTIN, TX 78751
(30.297845160000463, -97.7185930869997)"
153529,90941,Office,69.2,65.5,03/13/2014 12:00:00 AM,"9737 GREAT HILLS TRL
AUSTIN, TX 78759
(30.39442428500047, -97.75220899899966)"
231374,42822,Hotel,62.7,62.2,03/13/2014 12:00:00 AM,"7100 N IH 35
AUSTIN, TX 78752
(30.332252490000485, -97.70383703299967)"
158145,68533,Office,77.8,74.4,03/13/2014 12:00:00 AM,"11211 TAYLOR DRAPER LA
AUSTIN, TX 78759
(30.409936496000455, -97.7485906279997)"
228188,59005,Office,95.3,10.3,03/13/2014 12:00:00 AM,"7104 BERKMAN DR
AUSTIN, TX 78752
(30.323992186000453, -97.68963190499966)"
266837,17842,Fire Station/Police Station,,90,03/13/2014 12:00:00 AM,"12425 LAMPLIGHT VILLAGE
AUSTIN, TX 78758
(30.414567538000483, -97.69666255999965)"
724575,246446,Hotel,10.2,132.1,03/13/2014 12:00:00 AM,"9515 HOTEL DR
AUSTIN, TX 78719
(30.21211878100047, -97.66329892699969)"
799365,80768,Office,16,210.1,03/13/2014 12:00:00 AM,"7600 N CAPITAL OF TX HWY
AUSTIN, TX 78731
(30.374932456000465, -97.78203953799965)"
255059,79567,Distribution Center,73.3,14.5,03/13/2014 12:00:00 AM,"2315 RUTLAND DR
AUSTIN, TX 78758
(30.382083922000447, -97.72027731699967)"
291820,45000,Warehouse (Unrefrigerated),2.2,86.2,03/13/2014 12:00:00 AM,"4013 TODD LA
AUSTIN, TX 78744
(30.212669703000472, -97.7366849709997)"
194653,20225,Office,,31.6,03/13/2014 12:00:00 AM,"700 E 7TH ST
AUSTIN, TX 78701
(30.267127498000434, -97.73562252699969)"
422331,119190,Office,59.8,81.9,03/13/2014 12:00:00 AM,"2700 VIA FORTUNA
AUSTIN, TX 78746
(30.25285417900045, -97.80036827599969)"
119489,103520,Hospital (General Medical and Surgical),100,76.5,03/13/2014 12:00:00 AM,"3501 MILLS AVE
AUSTIN, TX 78703
(30.306213014000434, -97.7488665949997)"
190214,137416,Refrigerated Warehouse,49,112.5,03/13/2014 12:00:00 AM,"840 INTERCHANGE BLVD
AUSTIN, TX 78721
(30.253033025000434, -97.68459224199967)"
754749,156024,Office,72,113,03/13/2014 12:00:00 AM,"1345 PHILOMENA ST
AUSTIN, TX 78723
(30.30229735600045, -97.70810632499968)"
255072,35757,Non-Refrigerated Warehouse,58,46.7,03/13/2014 12:00:00 AM,"2208 ENERGY DR
AUSTIN, TX 78758
(30.384276264000448, -97.71668855599967)"
158197,38823,Automobile Dealership,,96.2,03/13/2014 12:00:00 AM,"11514 RESEARCH BLVD
AUSTIN, TX 78759
(30.412334926000483, -97.74609152399967)"
