Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommend Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Wash Dryer,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Address
MacKenzie Pointe,"228177, 228179, 228182",08/10/2011 12:00:00 AM,17,10%,14,Needed,1984,Yes,Electric,715,6.45,02/10/2014 12:00:00 AM,"1044 Camino La Costa
Austin, TX 78752
(30.324886415000435, -97.69979887599965)"
Northridge Apts,234721,08/01/2013 12:00:00 AM,45.6,10%,6,Needed,1967,No,Gas and Electric,6,10.47,02/10/2014 12:00:00 AM,"2201 MUROC ST
Austin, TX 78757
(30.34426572400048, -97.73610339799967)"
Sterling Village,369287,01/26/2011 12:00:00 AM,21,10%,12,Complete,1985,No,Electric,207,14.09,02/10/2014 12:00:00 AM,"10401 North Lamar
Austin, TX 78753
(30.372926067000435, -97.69143339199968)"
IPERS VILLAS ON GUADALUPE,208335,12/21/2012 12:00:00 AM,35,15%,11,Needed,2003,No,Electric,149,9.37,02/10/2014 12:00:00 AM,"2717 GUADALUPE ST
Austin, TX 78705
(30.29331361000044, -97.7418027759997)"
Keystone Apartments,478311,04/07/2011 12:00:00 AM,18,10%,15,Complete,1981,Yes,Electric,166,13.17,02/10/2014 12:00:00 AM,"5230 Thunder Creek
Austin, TX 78759
(30.41579193600046, -97.74356849699967)"
Deerfield Apartments,447476,07/12/2013 12:00:00 AM,9.3,10%,23,Needed,2001,Yes,Electric,324,7.58,02/10/2014 12:00:00 AM,"8710 BRODIE LN
Austin, TX 78745
(30.196457333000467, -97.84158572899969)"
Goodrich Apartments,303230,01/28/2011 12:00:00 AM,61,10%,,Needed,1965,Yes,Gas and Electric,13,8.56,02/10/2014 12:00:00 AM,"2115 Goodrich Ave
Austin, TX 78704
(30.249174218000462, -97.77302499699965)"
Elms Apartments,"225442, 225440, 225441, 225443",10/10/2010 12:00:00 AM,12,10%,,Needed,1967,Yes,Gas and Electric,100,8.35,02/10/2014 12:00:00 AM,"600 E 53 ST
Austin, TX 78751
(30.315675262000468, -97.71698821199965)"
The Marsol Apartments,112110,04/30/2011 12:00:00 AM,62,15%,,Needed,1972,No,Electric,22,8.22,02/10/2014 12:00:00 AM,"1610 Enfield Rd.
Austin, TX 78703
(30.282987927000477, -97.75866403099968)"
The Willows,101836,01/06/2011 12:00:00 AM,24,10%,3,Needed,1969,Yes,Gas and Electric,97,8.14,02/10/2014 12:00:00 AM,"600 South 1st St
Austin, TX 78704
(30.257455610000477, -97.75064676299968)"
La Casa,100349,04/16/2013 12:00:00 AM,45,15%,15,Needed,1970,Yes,Gas and Electric,20,6.16,02/10/2014 12:00:00 AM,"2024 GOODRICH AVE
Austin, TX 78704
(30.249907368000436, -97.77262585199969)"
The Ancira,214691,01/05/2011 12:00:00 AM,35,10%,17,Needed,1969,Yes,Gas and Electric,8,6.62,02/10/2014 12:00:00 AM,"313 W 41st
Austin, TX 78751
(30.305375636000463, -97.73382340899968)"
Tom Thumb Apartments,215799,05/10/2011 12:00:00 AM,75,15%,,Needed,1967,Yes,Electric,12,10.4,02/10/2014 12:00:00 AM,"4209 Speedway
Austin, TX 78751
(30.30607443800045, -97.7300250079997)"
The Houstonian,229579,11/12/2012 12:00:00 AM,39,10%,25,Needed,1955,No,Gas and Electric,6,8.4,02/10/2014 12:00:00 AM,"1700 HOUSTON ST
Austin, TX 78756
(30.328136435000488, -97.73819861799967)"
Valley View,306561,03/18/2011 12:00:00 AM,27,10%,21,Needed,1982,No,Electric,24,11.2,02/10/2014 12:00:00 AM,"6701 Silvermine Dr
Austin, TX 78736
(30.24605922100045, -97.8886411369997)"
South Lamar Plaza,771588,05/17/2011 12:00:00 AM,57,10%,19,Needed,1983,No,Electric,12,2.87,02/10/2014 12:00:00 AM,"1505 Treadwell
Austin, TX 78704
(30.257025669000484, -97.7635141889997)"
Uptown Crossing,225470,04/24/2013 12:00:00 AM,42.6,15%,19,Complete,1975,Yes,Electric,88,8.65,02/10/2014 12:00:00 AM,"909 REINLI ST
Austin, TX 78751
(30.319735418000448, -97.70992202499968)"
Runnymede Apartments,247380,03/22/2011 12:00:00 AM,54,10%,29,Complete,1972,Yes,Gas and Electric,252,10.13,02/10/2014 12:00:00 AM,"1101 Rutland Dr
Austin, TX 78758
(30.367681935000462, -97.70222220799968)"
South Creek Apartments,103566,06/14/2011 12:00:00 AM,26,10%,14,Needed,1979,Yes,Electric,23,8.57,02/10/2014 12:00:00 AM,"1117 Hollow Creek
Austin, TX 78704
(30.260867894000455, -97.77212366099968)"
12 Oaks,214670,05/01/2011 12:00:00 AM,75,10%,,Needed,1974,Yes,Electric,29,13.23,02/10/2014 12:00:00 AM,"301 W. 39th
Austin, TX 78751
(30.302864688000454, -97.7349130669997)"
Villa Solano Apartments,223211,03/04/2011 12:00:00 AM,41,10%,,Needed,1966,No,Gas and Electric,14,8.01,02/10/2014 12:00:00 AM,"620 W. 51st St.
Austin, TX 78751
(30.318426645000443, -97.7300984419997)"
San Paloma,503554,12/20/2012 12:00:00 AM,49.1,15%,19,Complete,2001,Yes,Gas and Electric,510,7.84,02/10/2014 12:00:00 AM,"12501 TECH RIDGE BLVD
Austin, TX 78753
(30.398633676000486, -97.66203871499965)"
Silvervale Crossing,242085,05/30/2011 12:00:00 AM,44,10%,14,Needed,1981,Yes,Electric,336,13.32,02/10/2014 12:00:00 AM,"8900 N IH 35
Austin, TX 78753
(30.351171595000437, -97.68760037099969)"
The Summit,206099,06/20/2011 12:00:00 AM,75,15%,,Needed,1970,Yes,Gas and Electric,14,7.98,02/10/2014 12:00:00 AM,"1008 W. 25th Half St
Austin, TX 78705
(30.28950810100048, -97.74839875299966)"
Palm Gardens,312799,03/28/2011 12:00:00 AM,,N/A,1,Needed,1973,Yes,Gas and Electric,24,15.31,02/10/2014 12:00:00 AM,"4314 Gillis St
Austin, TX 78745
(30.227086164000468, -97.78166644899966)"
The Shalimar,223222,12/06/2012 12:00:00 AM,21,15%,11,Needed,1969,Yes,Electric,17,8.47,02/10/2014 12:00:00 AM,"701 W NORTH LOOP BLVD
Austin, TX 78751
(30.320765854000456, -97.7287932219997)"
2606 Salado Pl,208065,05/23/2011 12:00:00 AM,22,10%,30,Needed,2000,No,Gas and Electric,5,10.1,02/10/2014 12:00:00 AM,"2606 Salado Pl
Austin, TX 78705
(30.291443426000455, -97.74530270699967)"
Chateau Duval,208608,05/23/2011 12:00:00 AM,75,15%,,Complete,1966,Yes,Gas and Electric,22,10.49,02/10/2014 12:00:00 AM,"3106 Duval St
Austin, TX 78705
(30.29329702800044, -97.73326673699967)"
The Tuscany,109019,11/11/2011 12:00:00 AM,62,10%,9,Needed,1984,Yes,Electric,49,14.3,02/10/2014 12:00:00 AM,"1512 W 13 ST
Austin, TX 78703
(30.280975615000443, -97.75807774799966)"
Tambaleo,303870,05/17/2011 12:00:00 AM,57,15%,,Needed,1981,No,Electric,8,12.2,02/10/2014 12:00:00 AM,"2208 S. 5th St
Austin, TX 78704
(30.245204077000437, -97.76407796699965)"
Polo Club,R321689,05/12/2011 12:00:00 AM,16,10%,14,Needed,1986,Yes,Electric,304,11.48,02/10/2014 12:00:00 AM,"8519 Cahill
Austin, TX 78729
(30.444399262000445, -97.77471041199965)"
700 Nelray,226523,08/12/2011 12:00:00 AM,10,10%,30,Needed,1983,Yes,Electric,12,8.47,02/10/2014 12:00:00 AM,"700 NELRAY BLVD
Austin, TX 78751
(30.32230558700047, -97.7269490969997)"
La Paloma Apartments,228852,01/31/2011 12:00:00 AM,7.8,10%,,Needed,1968,Yes,Electric,18,15.64,02/10/2014 12:00:00 AM,"5515 Woodrow Avenue
Austin, TX 78756
(30.327463690000457, -97.73370496899969)"
12800 HARRISGLENN,461081,11/13/2013 12:00:00 AM,26.7,10%,24,Complete,2001,Yes,Electric,340,7.8,02/10/2014 12:00:00 AM,"12800 HARRISGLENN DR
Austin, TX 78753
(30.400057337000476, -97.65274702199969)"
COLONIAL VILLAGE AT CANYON HILLS,336623,05/16/2011 12:00:00 AM,18,10%,21,Needed,1995,,Electric,229,10.46,02/10/2014 12:00:00 AM,"6307 BLUFF SPRINGS RD.
Austin, TX 78744
(30.191737461000457, -97.76548267699968)"
Duval Court Apts - South,218344,05/01/2011 12:00:00 AM,28,10%,11,Needed,1971,Yes,Electric,20,6.49,02/10/2014 12:00:00 AM,"4510 Duval St
Austin, TX 78751
(30.307346494000456, -97.72439550999968)"
Deen Ave Apartments,"241811, 241810",03/25/2013 12:00:00 AM,,N/A,11,Needed,1972,No,Electric,24,9.83,02/10/2014 12:00:00 AM,"601 Deen Ave
Austin, TX 78753
(30.355502217000435, -97.7004135849997)"
Dos Rios,208298,03/23/2011 12:00:00 AM,27,15%,,Needed,1984,No,Electric,32,12.59,02/10/2014 12:00:00 AM,"2818 Nueces
Austin, TX 78705
(30.294572637000442, -97.74252171299969)"
Westdale Park- Phase I,136154,10/10/2011 12:00:00 AM,75,15%,17,Complete,1976,Yes,Electric,248,9.72,02/10/2014 12:00:00 AM,"3543 GREYSTONE DR
Austin, TX 78731
(30.35829013600045, -97.75102292499969)"
Century Apartments,208774,06/14/2011 12:00:00 AM,15,10%,,Complete,1973,No,Electric,23,8.5,02/10/2014 12:00:00 AM,"708 E Dean Keeton
Austin, TX 78705
(30.289307937000444, -97.73202192199966)"
3008 Cedar Street,"210363, 210361",04/29/2011 12:00:00 AM,,N\A,,Complete,1935,No,Electric,18,10.46,02/10/2014 12:00:00 AM,"3008 Cedar Street
Austin, TX 78705
(30.295305786000483, -97.73815716399969)"
Mira Vista,245072,02/15/2011 12:00:00 AM,5.3,10%,30,Complete,1984,No,Electric,199,12.19,02/10/2014 12:00:00 AM,"9601 Middle Fiskville Rd
Austin, TX 78753
(30.359524472000487, -97.68518444599965)"
Travis Station,217406,02/09/2011 12:00:00 AM,20,10%,13,Complete,1985,Yes,Electric,305,8.29,02/10/2014 12:00:00 AM,"6600 Ed Bluestein Blvd
Austin, TX 78723
(30.305548561000478, -97.66101183099966)"
French Place,205230,12/03/2010 12:00:00 AM,21,15%,,Needed,1972,Yes,Electric,21,8.33,02/10/2014 12:00:00 AM,"2704 French Place
Austin, TX 78722
(30.284366579000448, -97.72077121599966)"
KENSINGTON GREEN,"227621, 227623",01/05/2011 12:00:00 AM,43,10%,,Needed,1971,Yes,Gas and Electric,310,6.41,02/10/2014 12:00:00 AM,"2202 W NORTH LOOP BLVD
Austin, TX 78756
(30.32571787000046, -97.74126268599969)"
Terracina,442703,05/04/2011 12:00:00 AM,28,15%,9,Complete,1971,Yes,Electric,170,8.36,02/10/2014 12:00:00 AM,"8100 N. MoPac Expressway
Austin, TX 78759
(30.366294558000448, -97.7435118789997)"
3 Oaks Apartments,212788,05/01/2011 12:00:00 AM,15,15%,11,Needed,1978,Yes,Electric,40,14.01,02/10/2014 12:00:00 AM,"409 W. 38th
Austin, TX 78705
(30.30224524200048, -97.73722266499965)"
Turnberry Apts - Building E,211828,05/01/2011 12:00:00 AM,56,10%,11,Needed,1966,Yes,Electric,21,6.44,02/10/2014 12:00:00 AM,"920 E. 40th St
Austin, TX 78751
(30.297846345000437, -97.72104836799969)"
Spruce House,203396,02/11/2013 12:00:00 AM,24,15%,22,Needed,1925,No,Electric,9,4.74,02/10/2014 12:00:00 AM,"909 W 23 ST
Austin, TX 78705
(30.287353660000463, -97.7470532639997)"
Creekside Aparments,540944,04/30/2011 12:00:00 AM,34,10%,,Needed,1972,Yes,Gas and Electric,24,10.59,02/10/2014 12:00:00 AM,"615 Upson St.
Austin, TX 78703
(30.279653814000483, -97.77005568299967)"
Academy Apartments,282780,11/01/2012 12:00:00 AM,9,10%,19,Complete,1973,Yes,Electric,10,9.48,02/10/2014 12:00:00 AM,"201 ACADEMY DR
Austin, TX 78704
(30.251663847000486, -97.74618746099969)"
906 West 22 nd,203523,04/18/2011 12:00:00 AM,30,10%,12,Complete,1903,No,Gas and Electric,9,7.7,02/10/2014 12:00:00 AM,"906 West 22 nd
Austin, TX 78705
(30.285398201000476, -97.74719776299969)"
Barton Cove Apartments II LLC,103585,07/18/2011 12:00:00 AM,,N\A,21,Needed,1979,Yes,Electric,27,9.74,02/10/2014 12:00:00 AM,"1125 Hollow Creek Dr
Austin, TX 78704
(30.260627458000442, -97.77245411199965)"
2612 Rogers,204018,11/26/2012 12:00:00 AM,35,10%,,Needed,1972,No,Gas and Electric,8,7.71,02/10/2014 12:00:00 AM,"2612 Rogers Ave
Austin, TX 78722
(30.283067282000445, -97.71397507399968)"
The Oaks Apartments,305578,03/10/2011 12:00:00 AM,13,15%,30,Complete,1973,No,Electric,100,10.31,02/10/2014 12:00:00 AM,"130 Cumberland Rd
Austin, TX 78704
(30.236176508000483, -97.7576786029997)"
House 2604,205395,05/24/2011 12:00:00 AM,46,10%,4,Complete,1964,Yes,Electric,59,8.46,02/10/2014 12:00:00 AM,"2604 Manor Rd
Austin, TX 78722
(30.28499787000044, -97.71497471599969)"
,112179,08/07/2013 12:00:00 AM,47,15%,12,Needed,1971,No,Electric,10,9.68,02/10/2014 12:00:00 AM,"3012 OAKHURST AVE
Austin, TX 78703
(30.301551177000476, -97.7500616639997)"
Mission Gracewoods,"289709, 290115",05/04/2011 12:00:00 AM,25,15%,11,Needed,1981,Yes,Electric,430,11.22,02/10/2014 12:00:00 AM,"3209 S IH 35
Austin, TX 78741
(30.231461397000487, -97.72082600399966)"
Bell Tech Corridor (IMT Rattan Creek),R090204,05/17/2011 12:00:00 AM,20,10%,23,Needed,2000,Yes,Electric,344,9.05,02/10/2014 12:00:00 AM,"7011 PARMER LN
Austin, TX 78727
(30.407971440000438, -97.67899992699967)"
Town Lake Villa,187588,04/08/2011 12:00:00 AM,27,10%,18,Needed,1981,No,Electric,16,14.4,02/10/2014 12:00:00 AM,"2613 E. Cesar Chavez
Austin, TX 78702
(30.25353403000048, -97.71445002199965)"
Rio House Apts,199701,01/31/2013 12:00:00 AM,,NA,1,Needed,1959,Yes,Electric,45,12.6,02/10/2014 12:00:00 AM,"606 W 17 ST
Austin, TX 78701
(30.280537384000468, -97.74505279699969)"
Park Place,106860,01/07/2011 12:00:00 AM,75,10%,7,Needed,1962,Yes,Electric,50,8.51,02/10/2014 12:00:00 AM,"809 Winflo Drive
Austin, TX 78703
(30.275778426000443, -97.75767268099969)"
Atrium Apartments,226576,04/27/2011 12:00:00 AM,20,15%,,Needed,1967,Yes,Electric,16,6.36,02/10/2014 12:00:00 AM,"816 West North Loop Drive
Austin, TX 78756
(30.32167666500044, -97.73057931199969)"
University Village at Austin,507740,12/17/2010 12:00:00 AM,26,15%,19,Complete,2001,No,Electric,348,11.99,02/10/2014 12:00:00 AM,"1301 CROSSING PL
Austin, TX 78741
(30.236551965000444, -97.71388032199968)"
Rutland Place,"251517, 250292",02/14/2011 12:00:00 AM,62,15%,12,Needed,1982,Yes,Electric,291,12.36,02/10/2014 12:00:00 AM,"1711 Rutland Drive
Austin, TX 78758
(30.374517914000478, -97.7118857749997)"
Heritage Oaks Apartments,305344,03/21/2011 12:00:00 AM,8.7,10%,30,Needed,1983,Yes,Electric,104,12.41,02/10/2014 12:00:00 AM,"3506 Manchaca
Austin, TX 78704
(30.23842333300047, -97.78296811499968)"
Clearday Apartments,335902,04/26/2011 12:00:00 AM,37,10%,11,Needed,1980,Yes,Electric,34,12.3,02/10/2014 12:00:00 AM,"6812 S. Congress
Austin, TX 78745
(30.191469785000436, -97.77947055399966)"
38th Street Condos,214743,11/05/2012 12:00:00 AM,66,15%,,Complete,1972,No,Electric,8,14.66,02/10/2014 12:00:00 AM,"112 W 38 ST
Austin, TX 78705
(30.301046619000488, -97.73457906299967)"
The Zone The Edge at Eastend,"287922, 287925",03/17/2011 12:00:00 AM,32,15%,36,Needed,1995,,Gas and Electric,522,10.52,02/10/2014 12:00:00 AM,"1515 Wickersham Ln
Austin, TX 78741
(30.235429145000467, -97.71882049399966)"
3004 S 1 ST,307493,02/27/2013 12:00:00 AM,50,10%,10,Needed,1975,Yes,Gas and Electric,8,9.52,02/10/2014 12:00:00 AM,"3004 S 1ST St
Austin, TX 78704
(30.235076191000474, -97.76410639299968)"
Waterford,215759,04/01/2011 12:00:00 AM,50,10%,,Needed,1973,Yes,Electric,23,11.3,02/10/2014 12:00:00 AM,"4312 Speedway
Austin, TX 78751
(30.307366629000455, -97.7292563259997)"
Hunterwood,512310,06/01/2011 12:00:00 AM,61,15%,15,Complete,1984,Yes,Electric,161,13.59,02/10/2014 12:00:00 AM,"409 E. William Cannon
Austin, TX 78745
(30.19186419300047, -97.77537131299965)"
Stonewood Village,221352,02/01/2011 12:00:00 AM,8,10%,1,Needed,1971,Yes,Electric,58,14.31,02/10/2014 12:00:00 AM,"4548 Avenue A
Austin, TX 78751
(30.311516800000447, -97.73137641999966)"
Retreat at Barton Creek,"310468, 310472",05/23/2011 12:00:00 AM,14,10%,,Needed,1984,No,Electric,600,10.9,02/10/2014 12:00:00 AM,"3815 S. Lamar
Austin, TX 78704
(30.238158025000473, -97.7899431029997)"
Haven East,236537,05/17/2011 12:00:00 AM,58,15%,15,Needed,1984,Yes,Electric,56,16.37,02/10/2014 12:00:00 AM,"8001 Gessner Drive
Austin, TX 78753
(30.343761166000434, -97.70227784499968)"
2200 Nueces,567166,04/06/2011 12:00:00 AM,,N\A,12,Needed,,Yes,Electric,12,8.85,02/10/2014 12:00:00 AM,"2200 Nueces
Austin, TX 78705
(30.28538398800049, -97.74390154999969)"
MARQUIS AT CAPROCK CANYON,142617,05/04/2011 12:00:00 AM,53,15%,22,Needed,1994,,Gas and Electric,337,7.35,02/10/2014 12:00:00 AM,"4411 SPICEWOOD SPRINGS RD.
Austin, TX 78759
(30.372715241000435, -97.75845675899967)"
"304 E 34 ST, Austin TX, 78705",211502,10/29/2012 12:00:00 AM,20,10%,19,Needed,1971,Yes,Electric,8,10.79,02/10/2014 12:00:00 AM,"304 E 34 ST
Austin, TX 78705
(30.297396269000444, -97.73293865499966)"
Le Montreaux Apartments,442704,05/26/2011 12:00:00 AM,60,15%,,Complete,1973,Yes,Electric,223,9.75,02/10/2014 12:00:00 AM,"3605 Steck Ave
Austin, TX 78759
(30.369404817000486, -97.74509188199966)"
,106934,11/20/2012 12:00:00 AM,16,10%,11,Needed,1900,No,Electric,6,7.23,02/10/2014 12:00:00 AM,"806 BAYLOR ST
Austin, TX 78703
(30.27396509500045, -97.75395837199966)"
,191828,04/26/2011 12:00:00 AM,,N\A,12,Needed,1910,No,Electric,7,9.68,02/10/2014 12:00:00 AM,"1300 E. CESAR CHAVEZ ST.
Austin, TX 78702
(30.25950700800047, -97.73139181699969)"
709 W. 26th,206318,01/07/2011 12:00:00 AM,,N/A,,Complete,1989,Yes,Gas and Electric,20,8.15,02/10/2014 12:00:00 AM,"709 W 26 ST
Austin, TX 78705
(30.29067356100046, -97.74520203199967)"
Bull Creek Apartments,227403,03/30/2011 12:00:00 AM,33,10%,9,Needed,1965,Yes,Gas and Electric,24,7.37,02/10/2014 12:00:00 AM,"5001 Bull Creek Rd.
Austin, TX 78731
(30.32681463400047, -97.7495950069997)"
Southport Street Apartments,310057,03/14/2011 12:00:00 AM,13,10%,,Needed,1985,No,Electric,14,6.52,02/10/2014 12:00:00 AM,"1207 Southport Dr.
Austin, TX 78704
(30.232154253000488, -97.77573018899966)"
Alpine Villa,309764,01/28/2011 12:00:00 AM,59,10%,,Needed,1972,Yes,Electric,35,9.38,02/10/2014 12:00:00 AM,"3508 Alpine Circle
Austin, TX 78704
(30.229167172000473, -97.7627455059997)"
Park Plaza Apts,239727,06/02/2011 12:00:00 AM,19,10%,20,Needed,1982,Yes,Electric,62,13.99,02/10/2014 12:00:00 AM,"829 Park Plaza
Austin, TX 78753
(30.350354774000436, -97.69115268599967)"
Bruce Apartments,112853,04/28/2011 12:00:00 AM,,N\A,9,Needed,1949,Yes,Electric,8,6.91,02/10/2014 12:00:00 AM,"2509-2511 Enfield
Austin, TX 78703
(30.278931757000464, -97.75182969599967)"
Red Oak,223394,05/18/2012 12:00:00 AM,43.8,10%,15,Needed,1971,Yes,Gas and Electric,24,12.55,02/10/2014 12:00:00 AM,"6301 BERKMAN DR
Austin, TX 78723
(30.31667490400048, -97.6909454149997)"
Post Park Mesa,772877,02/22/2011 12:00:00 AM,75,10%,24,Complete,1992,No,Electric,149,16.67,02/10/2014 12:00:00 AM,"5811 Mesa Drive
Austin, TX 78731
(30.34340939600048, -97.77148644899967)"
Oak Park Apartments,218409,01/05/2011 12:00:00 AM,75,15%,,Needed,1972,Yes,Electric,196,8.01,02/10/2014 12:00:00 AM,"4505 Duval St.
Austin, TX 78751
(30.307524155000465, -97.72421547899967)"
Lightsey 7 Apartments,305367,06/01/2011 12:00:00 AM,21,10%,19,Needed,1974,No,Electric,7,14.42,02/10/2014 12:00:00 AM,"2003 Lightsey Drive
Austin, TX 78704
(30.241625976000478, -97.78064785699968)"
Avalon Palms II,248716,05/12/2011 12:00:00 AM,26,10%,19,Complete,1973,Yes,Electric,151,11.2,02/10/2014 12:00:00 AM,"9001 Northgate Boulevard
Austin, TX 78758
(30.369324277000487, -97.71725470399969)"
Stassney Woods,334284,02/09/2011 12:00:00 AM,41,15%,12,Needed,1983,Yes,Electric,288,9.16,02/10/2014 12:00:00 AM,"1800 E. Stassney Lane
Austin, TX 78749
(30.19715495100047, -97.7610269279997)"
Salado,208070,04/13/2011 12:00:00 AM,64,15%,,Complete,1972,Yes,Electric,20,9.53,02/10/2014 12:00:00 AM,"2704 Salado St
Austin, TX 78704
(30.292653893000477, -97.74519255699965)"
COLONIAL VILLAGE AT QUARRY OAKS,375891,05/26/2011 12:00:00 AM,32,15%,27,Needed,1996,Yes,Gas and Electric,533,8.29,02/10/2014 12:00:00 AM,"6263 McNEIL DR.
Austin, TX 78729
(30.441464295000458, -97.74857996799966)"
Galewood Gardens Apartments,248719,05/23/2011 12:00:00 AM,20,10%,,Complete,1972,Yes,Electric,95,12.8,02/10/2014 12:00:00 AM,"9010 Galewood Dr.
Austin, TX 78758
(30.367797573000473, -97.71483613999965)"
The Palms,212842,11/02/2012 12:00:00 AM,64,15%,19,Needed,1972,No,Electric,10,14.48,02/10/2014 12:00:00 AM,"105 E 38 ST
Austin, TX 78705
(30.300244774000475, -97.73300261299966)"
Princeton Condominiums,312531,03/10/2011 12:00:00 AM,16,10%,13,Needed,1984,Yes,Electric,28,16.2,02/10/2014 12:00:00 AM,"521 Woodward St
Austin, TX 78704
(30.226575684000466, -97.75386243499969)"
Sleepy Hollow Apts,584369,04/29/2011 12:00:00 AM,,N\A,,Needed,1967,Yes,Electric,20,9.8,02/10/2014 12:00:00 AM,"5909 Bolm Rd
Austin, TX 78721
(30.256134993000444, -97.6858323189997)"
Casa del Rio,208872,05/01/2011 12:00:00 AM,19,10%,,Needed,1966,Yes,Electric,32,6.8,02/10/2014 12:00:00 AM,"3212 Red River
Austin, TX 78705
(30.291839019000463, -97.72664351899965)"
Santa Maria Village,239650,04/20/2011 12:00:00 AM,37,15%,10,Needed,1968,Yes,Gas and Electric,176,12.05,02/10/2014 12:00:00 AM,"8071 N. Lamar Blvd
Austin, TX 78753
(30.34851183200044, -97.71143806899966)"
The Springs Garden Homes,504310,11/15/2011 12:00:00 AM,20,10%,12,Needed,1984,No,Electric,60,13.24,02/10/2014 12:00:00 AM,"4716 DUVAL RD
Austin, TX 78727
(30.414676504000454, -97.73604891499969)"
Redwood North Apartments,221747,05/23/2011 12:00:00 AM,35,10%,,Needed,1971,Yes,Electric,16,10.44,02/10/2014 12:00:00 AM,"5101 Evans Ave
Austin, TX 78751
(30.313944840000488, -97.71886431699966)"
Sienna Villas,305897,02/11/2011 12:00:00 AM,24,10%,12,Needed,1977,Yes,Electric,16,9.72,02/10/2014 12:00:00 AM,"3415 Manchaca Rd
Austin, TX 78704
(30.239056992000485, -97.78261279199967)"
The Ridge Apartments,133197,11/17/2010 12:00:00 AM,59,15%,10,Complete,1978,Yes,Electric,326,10.77,02/10/2014 12:00:00 AM,"6805 Woodhollow Dr.
Austin, TX 78731
(30.350624819000473, -97.75477442999966)"
Mark Twain Apartments,112440,05/18/2011 12:00:00 AM,75,15%,,Needed,1974,Yes,Electric,9,9.86,02/10/2014 12:00:00 AM,"1106 West 22nd Street
Austin, TX 78705
(30.285648110000466, -97.75030920599966)"
915 W. 21st,203753,04/06/2011 12:00:00 AM,,N\A,,Needed,1938,No,Electric,12,8.99,02/10/2014 12:00:00 AM,"915 W. 21st
Austin, TX 78705
(30.284792967000442, -97.7478930099997)"
Shoal Glen,217472,07/27/2011 12:00:00 AM,17,15%,,Needed,1973,Yes,Gas and Electric,18,6.68,02/10/2014 12:00:00 AM,"1605 W. 39 1/2 St
Austin, TX 78756
(30.30991547800045, -97.74795223099966)"
Ashbury Parke,"248790, 426264",05/12/2011 12:00:00 AM,17,10%,12,Needed,1982,,Electric,415,13.4,02/10/2014 12:00:00 AM,"9024 Northgate
Austin, TX 78758
(30.370046767000474, -97.71686621799967)"
Madison at Stone Creek,R330928,04/13/2011 12:00:00 AM,38,15%,9,Needed,1995,Yes,Electric,390,11.27,02/10/2014 12:00:00 AM,"6800 McNeil Drive
Austin, TX 78729
(30.43826638900049, -97.7577698019997)"
Forest Park Apartments,362042,05/27/2011 12:00:00 AM,20,10%,20,Needed,1996,Yes,Electric,228,12.93,02/10/2014 12:00:00 AM,"1088 Park Plaza
Austin, TX 78753
(30.348547364000467, -97.68606683099966)"
WILDWOOD APARTMENTS,230699,04/28/2011 12:00:00 AM,30,15%,12,Needed,1985,Yes,Electric,344,13.98,02/10/2014 12:00:00 AM,"7610 CAMERON RD.
Austin, TX 78752
(30.331208793000485, -97.68749404499965)"
Williamson Creek,316766,10/06/2010 12:00:00 AM,6.6,15%,19,Complete,1984,Yes,Electric,100,15,02/10/2014 12:00:00 AM,"5112 S. 1st
Austin, TX 78745
(30.213640747000454, -97.77777210999966)"
The Heights on Oltorf,290469,12/16/2010 12:00:00 AM,18,10%,26,Needed,2000,No,Electric,192,14.17,02/10/2014 12:00:00 AM,"4404 E. Oltorf
Austin, TX 78741
(30.226955880000446, -97.72661864599968)"
Garden Path Apartments,236532,12/21/2012 12:00:00 AM,11.8,10%,30,Complete,1978,Yes,Electric,44,8.56,02/10/2014 12:00:00 AM,"8017 GESSNER DR
Austin, TX 78753
(30.34416860200048, -97.70206228299969)"
Canyon Villas Apts,"229274, 229278, 229154, 229276, 229156, 229155",05/21/2011 12:00:00 AM,56,15%,15,Complete,1971,Yes,Gas and Electric,318,7.66,02/10/2014 12:00:00 AM,"1212 WESTHEIMER DR
Austin, TX 78752
(30.325586401000464, -97.69453891299969)"
Courtyard,228145,03/14/2011 12:00:00 AM,10.4,10%,,Needed,1968,Yes,Electric,20,7.08,02/10/2014 12:00:00 AM,"115 W. Koenig Lane
Austin, TX 78751
(30.322594582000477, -97.72034838199966)"
Renaissance at North Bend,369566,07/08/2011 12:00:00 AM,23,15%,22,Complete,1999,,Gas and Electric,366,7.25,02/10/2014 12:00:00 AM,"12345 Lamplight Village
Austin, TX 78758
(30.41258838900046, -97.69673007099965)"
Stony Creek Apartments,315682,05/13/2011 12:00:00 AM,21,15%,18,Needed,1982,Yes,Electric,132,13.81,02/10/2014 12:00:00 AM,"4911 Manchaca Rd
Austin, TX 78745
(30.222284568000475, -97.79316469699967)"
Mission Tanglewood,"342618, 342625",05/06/2011 12:00:00 AM,11,15%,17,Needed,1985,Yes,Electric,364,12.39,02/10/2014 12:00:00 AM,"2915 Aftonshire Way
Austin, TX 78748
(30.180795885000464, -97.83780509399969)"
